authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,Maritime,1.0,Partner,funding,0.504,0.2625,0.1323,MASINT,NonKinetic,4,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,6,2
Title50,,Maritime,1.0,POM,attempt,0.504,0.2625,0.1323,SIGINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,NG,PEO C4I,proj-35,35,Army,POC-User,,6,3
Title10,,Space,,Partner_CoDev,attempt,1.0,0.67,0.67,SIGINT,NonKinetic,,,,,not_conducted,favorable_with_caveats,,Commercial,start,Boeing,PEO C4I,proj-39,39,Army,CCMD,,6,4
Title10,,Space,,Partner_CoDev,legal,,,,SIGINT,NonKinetic,0,0.285,0.55,0.1,unfavorable,,0.115,Commercial,unfavorable,Boeing,PEO C4I,proj-39,39,Army,CCMD,feasibility,6,4
Title50,Commercial,Space,,ProgramBase,contracting,0.49,0.5,0.245,SIGINT,Kinetic,6,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,7,3
Title10,,Maritime,1.0,UFR,funding,0.4165,0.245,0.102042,HUMINT,NonKinetic,3,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,7,3
Title50,,Air,1.0,UFR,funding,0.392,0.245,0.09604,SIGINT,Kinetic,5,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,7,4
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,7,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,7,2
Title10,,Space,,External,test,0.6885,0.66,0.45441,MASINT,Kinetic,1,,,,favorable,favorable,,GovLab,pass,None,AFLCMC,proj-26,26,Army,CCMD,prototype_demo,7,6
Title10,,Space,,External,test,0.6885,0.66,0.45441,MASINT,Kinetic,0,,,,favorable,favorable,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,prototype_demo,7,6
Title10,,Maritime,1.0,Partner,funding,0.44625,0.2625,0.117141,MASINT,NonKinetic,5,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,7,2
Title50,,Cyber,1.0,POM,attempt,0.44625,0.2625,0.117141,HUMINT,Kinetic,,,,,not_conducted,,,GovLab,start,None,PEO C4I,proj-32,32,Army,Agency,,7,2
Title50,,Cyber,1.0,POM,funding,0.75,0.315,0.23625,HUMINT,Kinetic,0,,,,favorable,,,GovLab,fail,None,PEO C4I,proj-32,32,Army,Agency,feasibility,7,2
Title50,,Maritime,1.0,POM,funding,0.665,0.315,0.209475,SIGINT,NonKinetic,1,,,,favorable_with_caveats,,,GovContractor,fail,NG,PEO C4I,proj-35,35,Army,POC-User,feasibility,7,3
Title10,,Maritime,1.0,UFR,funding,0.392,0.245,0.09604,HUMINT,NonKinetic,4,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,8,3
Title50,,Air,1.0,UFR,funding,0.3675,0.245,0.090037,SIGINT,Kinetic,6,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,8,4
Title50,,Space,1.0,UFR,funding,0.392,0.245,0.09604,MASINT,NonKinetic,5,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,8,2
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,8,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,8,2
Title10,,Space,1.0,POM,attempt,0.343,0.28,0.09604,SIGINT,Kinetic,,,,,not_conducted,,,GovLab,start,SAIC,NRL,proj-22,22,IC,Agency,,8,2
Title10,,Space,1.0,POM,funding,0.63,0.315,0.19845,SIGINT,Kinetic,0,,,,not_conducted,,,GovLab,fail,SAIC,NRL,proj-22,22,IC,Agency,feasibility,8,2
Title10,,EW,1.0,External,attempt,0.63,0.315,0.19845,HUMINT,NonKinetic,,,,,not_conducted,,,Commercial,start,None,AFLCMC,proj-25,25,USMC,Service HQ,,8,4
Title10,,EW,1.0,External,funding,0.49,0.28,0.1372,HUMINT,NonKinetic,0,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-25,25,USMC,Service HQ,feasibility,8,4
Title10,,Space,0.75,External,funding,0.4165,0.18,0.07497,MASINT,Kinetic,1,,,,favorable,,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,functional_test,8,6
Title10,Commercial,Maritime,,Partner,contracting,0.49,0.5,0.245,MASINT,NonKinetic,6,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,8,2
Title50,,Cyber,1.0,POM,funding,0.56525,0.315,0.178054,HUMINT,Kinetic,1,,,,favorable,,,GovLab,fail,None,PEO C4I,proj-32,32,Army,Agency,feasibility,8,2
Title50,,Maritime,1.0,POM,funding,0.532,0.315,0.16758,SIGINT,NonKinetic,2,,,,favorable_with_caveats,,,GovContractor,fail,NG,PEO C4I,proj-35,35,Army,POC-User,feasibility,8,3
Title10,,Air,1.0,ProgramBase,attempt,0.532,0.315,0.16758,MASINT,Kinetic,,,,,not_conducted,,,GovContractor,start,Leidos,DARPA,proj-37,37,IC,POC-User,,8,2
Title10,GovContractor,Maritime,,UFR,contracting,0.525,0.55,0.28875,HUMINT,NonKinetic,5,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,9,3
Title50,,Air,1.0,UFR,funding,0.343,0.245,0.084035,SIGINT,Kinetic,7,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,9,4
Title50,,Space,1.0,UFR,funding,0.3675,0.245,0.090037,MASINT,NonKinetic,6,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,9,2
Title50,GovContractor,ISR,,External,contracting,0.49,0.55,0.2695,OSINT,Kinetic,9,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,9,2
Title10,,Space,1.0,POM,funding,0.49875,0.315,0.157106,SIGINT,Kinetic,1,,,,favorable,,,GovLab,fail,SAIC,NRL,proj-22,22,IC,Agency,feasibility,9,2
Title10,,EW,1.0,External,funding,0.4655,0.28,0.13034,HUMINT,NonKinetic,1,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-25,25,USMC,Service HQ,feasibility,9,4
Title10,,Space,0.75,External,funding,0.392,0.18,0.07056,MASINT,Kinetic,2,,,,favorable,,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,functional_test,9,6
Title10,,Maritime,1.0,Partner,funding,0.392,0.2625,0.1029,MASINT,NonKinetic,7,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,9,2
Title50,,Cyber,1.0,POM,funding,0.441,0.315,0.138915,HUMINT,Kinetic,2,,,,favorable,,,GovLab,fail,None,PEO C4I,proj-32,32,Army,Agency,feasibility,9,2
Title10,GovContractor,Air,,ProgramBase,contracting,0.7,0.55,0.385,MASINT,Kinetic,1,,,,favorable_with_caveats,,,GovContractor,fail,Leidos,DARPA,proj-37,37,IC,POC-User,feasibility,9,2
Title50,Commercial,Space,,ProgramBase,contracting,0.49,0.5,0.245,SIGINT,Kinetic,9,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,10,3
Title10,Commercial,Air,,External,attempt,0.49,0.5,0.245,HUMINT,Kinetic,,,,,not_conducted,,,Commercial,start,SAIC,NRL,proj-5,5,IC,CCMD,,10,3
Title10,,Air,1.0,External,funding,0.49,0.28,0.1372,HUMINT,Kinetic,0,,,,favorable,,,Commercial,fail,SAIC,NRL,proj-5,5,IC,CCMD,feasibility,10,3
Title10,,Maritime,1.0,UFR,funding,0.343,0.245,0.084035,HUMINT,NonKinetic,6,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,10,3
Title50,Commercial,Air,,UFR,contracting,0.49,0.5,0.245,SIGINT,Kinetic,8,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,10,4
Title50,,Space,1.0,UFR,funding,0.343,0.245,0.084035,MASINT,NonKinetic,7,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,10,2
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,10,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,10,2
Title10,,Space,1.0,POM,funding,0.441,0.315,0.138915,SIGINT,Kinetic,2,,,,favorable,,,GovLab,fail,SAIC,NRL,proj-22,22,IC,Agency,feasibility,10,2
Title10,,EW,1.0,External,funding,0.441,0.28,0.12348,HUMINT,NonKinetic,2,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-25,25,USMC,Service HQ,feasibility,10,4
Title10,GovLab,Space,,External,contracting,0.525,0.6,0.315,MASINT,Kinetic,3,,,,favorable,,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,functional_test,10,6
Title10,,Maritime,1.0,Partner,funding,0.3675,0.2625,0.096469,MASINT,NonKinetic,8,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,10,2
Title50,,Land,1.0,Partner,attempt,0.3675,0.2625,0.096469,SIGINT,NonKinetic,,,,,not_conducted,,,GovLab,start,SAIC,NRL,proj-30,30,IC,CCMD,,10,2
Title50,,Land,1.0,Partner,funding,0.49,0.2625,0.128625,SIGINT,NonKinetic,0,,,,favorable_with_caveats,,,GovLab,fail,SAIC,NRL,proj-30,30,IC,CCMD,feasibility,10,2
Title50,,Cyber,1.0,POM,funding,0.4165,0.315,0.131197,HUMINT,Kinetic,3,,,,favorable,,,GovLab,fail,None,PEO C4I,proj-32,32,Army,Agency,feasibility,10,2
Title50,,Maritime,1.0,POM,funding,0.441,0.315,0.138915,SIGINT,NonKinetic,4,,,,favorable_with_caveats,,,GovContractor,fail,NG,PEO C4I,proj-35,35,Army,POC-User,feasibility,10,3
Title10,,Air,1.0,ProgramBase,funding,0.532,0.35,0.1862,MASINT,Kinetic,2,,,,favorable_with_caveats,,,GovContractor,fail,Leidos,DARPA,proj-37,37,IC,POC-User,feasibility,10,2
Title50,,Space,1.0,ProgramBase,funding,0.3675,0.35,0.128625,SIGINT,Kinetic,10,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,11,3
Title10,,Air,1.0,External,funding,0.4655,0.28,0.13034,HUMINT,Kinetic,1,,,,favorable,,,Commercial,fail,SAIC,NRL,proj-5,5,IC,CCMD,feasibility,11,3
Title10,,Maritime,1.0,UFR,funding,0.343,0.245,0.084035,HUMINT,NonKinetic,7,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,11,3
Title50,,Air,1.0,UFR,funding,0.343,0.245,0.084035,SIGINT,Kinetic,9,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,11,4
Title50,,Space,1.0,UFR,funding,0.343,0.245,0.084035,MASINT,NonKinetic,8,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,11,2
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,11,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,11,2
Title10,,Space,1.0,POM,funding,0.4165,0.315,0.131197,SIGINT,Kinetic,3,,,,favorable,,,GovLab,fail,SAIC,NRL,proj-22,22,IC,Agency,feasibility,11,2
Title10,,EW,1.0,External,funding,0.4165,0.28,0.11662,HUMINT,NonKinetic,3,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-25,25,USMC,Service HQ,feasibility,11,4
Title10,,Space,0.75,External,funding,0.343,0.18,0.06174,MASINT,Kinetic,4,,,,favorable,,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,functional_test,11,6
Title10,Commercial,Maritime,,Partner,contracting,0.49,0.5,0.245,MASINT,NonKinetic,9,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,11,2
Title50,,Land,1.0,Partner,funding,0.4655,0.2625,0.122194,SIGINT,NonKinetic,1,,,,favorable_with_caveats,,,GovLab,fail,SAIC,NRL,proj-30,30,IC,CCMD,feasibility,11,2
Title50,,Cyber,1.0,POM,funding,0.392,0.315,0.12348,HUMINT,Kinetic,4,,,,favorable,,,GovLab,fail,None,PEO C4I,proj-32,32,Army,Agency,feasibility,11,2
Title50,,Maritime,1.0,POM,funding,0.4165,0.315,0.131197,SIGINT,NonKinetic,5,,,,favorable_with_caveats,,,GovContractor,fail,NG,PEO C4I,proj-35,35,Army,POC-User,feasibility,11,3
Title10,,Air,1.0,ProgramBase,funding,0.441,0.35,0.15435,MASINT,Kinetic,3,,,,favorable_with_caveats,,,GovContractor,fail,Leidos,DARPA,proj-37,37,IC,POC-User,feasibility,11,2
Title50,,Space,1.0,ProgramBase,funding,0.343,0.35,0.12005,SIGINT,Kinetic,11,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,12,3
Title10,,Air,1.0,External,funding,0.441,0.28,0.12348,HUMINT,Kinetic,2,,,,favorable,,,Commercial,fail,SAIC,NRL,proj-5,5,IC,CCMD,feasibility,12,3
Title10,,Cyber,1.0,Partner_CoDev,attempt,0.441,0.28,0.12348,SIGINT,NonKinetic,,,,,not_conducted,,,Commercial,start,NG,DEVCOM,proj-8,8,IC,CCMD,,12,3
Title10,,Cyber,1.0,Partner_CoDev,funding,0.7,0.2975,0.20825,SIGINT,NonKinetic,0,,,,favorable,,,Commercial,fail,NG,DEVCOM,proj-8,8,IC,CCMD,feasibility,12,3
Title10,,Maritime,1.0,UFR,funding,0.343,0.245,0.084035,HUMINT,NonKinetic,8,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,12,3
Title50,,Air,1.0,UFR,funding,0.343,0.245,0.084035,SIGINT,Kinetic,10,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,12,4
Title50,,Space,1.0,UFR,funding,0.343,0.245,0.084035,MASINT,NonKinetic,9,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,12,2
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,12,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,12,2
Title10,,Space,1.0,POM,funding,0.392,0.315,0.12348,SIGINT,Kinetic,4,,,,favorable,,,GovLab,fail,SAIC,NRL,proj-22,22,IC,Agency,feasibility,12,2
Title10,,EW,1.0,External,funding,0.392,0.28,0.10976,HUMINT,NonKinetic,4,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-25,25,USMC,Service HQ,feasibility,12,4
Title10,,Space,0.75,External,funding,0.343,0.18,0.06174,MASINT,Kinetic,5,,,,favorable,,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,functional_test,12,6
Title10,,Maritime,1.0,Partner,funding,0.343,0.2625,0.090037,MASINT,NonKinetic,10,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,12,2
Title50,,Land,1.0,Partner,funding,0.441,0.2625,0.115762,SIGINT,NonKinetic,2,,,,favorable_with_caveats,,,GovLab,fail,SAIC,NRL,proj-30,30,IC,CCMD,feasibility,12,2
Title10,,Land,1.0,POM,attempt,0.441,0.2625,0.115762,MASINT,NonKinetic,,,,,not_conducted,,,GovLab,start,LM,NRL,proj-31,31,Air Force,CCMD,,12,3
Title10,,Land,1.0,POM,funding,0.49,0.315,0.15435,MASINT,NonKinetic,0,,,,favorable,,,GovLab,fail,LM,NRL,proj-31,31,Air Force,CCMD,feasibility,12,3
Title50,,Cyber,1.0,POM,funding,0.3675,0.315,0.115762,HUMINT,Kinetic,5,,,,favorable,,,GovLab,fail,None,PEO C4I,proj-32,32,Army,Agency,feasibility,12,2
Title50,,Maritime,1.0,POM,funding,0.392,0.315,0.12348,SIGINT,NonKinetic,6,,,,favorable_with_caveats,,,GovContractor,fail,NG,PEO C4I,proj-35,35,Army,POC-User,feasibility,12,3
Title10,,Air,1.0,ProgramBase,funding,0.4165,0.35,0.145775,MASINT,Kinetic,4,,,,favorable_with_caveats,,,GovContractor,fail,Leidos,DARPA,proj-37,37,IC,POC-User,feasibility,12,2
Title50,,Space,1.0,ProgramBase,funding,0.343,0.35,0.12005,SIGINT,Kinetic,12,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,13,3
Title10,,Air,1.0,External,funding,0.4165,0.28,0.11662,HUMINT,Kinetic,3,,,,favorable,,,Commercial,fail,SAIC,NRL,proj-5,5,IC,CCMD,feasibility,13,3
Title10,,Cyber,1.0,Partner_CoDev,funding,0.63175,0.2975,0.187946,SIGINT,NonKinetic,1,,,,favorable,,,Commercial,fail,NG,DEVCOM,proj-8,8,IC,CCMD,feasibility,13,3
Title10,,Maritime,1.0,UFR,funding,0.343,0.245,0.084035,HUMINT,NonKinetic,9,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,13,3
Title50,,Air,1.0,UFR,funding,0.343,0.245,0.084035,SIGINT,Kinetic,11,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,13,4
Title50,,Space,1.0,UFR,funding,0.343,0.245,0.084035,MASINT,NonKinetic,10,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,13,2
Title10,,Maritime,1.0,UFR,attempt,0.343,0.245,0.084035,GEOINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,None,NAVWAR,proj-20,20,Space Force,Service HQ,,13,4
Title10,,Maritime,,UFR,test,0.95,0.73,0.6935,GEOINT,NonKinetic,0,,,,favorable,favorable,,GovContractor,pass,None,NAVWAR,proj-20,20,Space Force,Service HQ,feasibility,13,5
Title10,,Maritime,,UFR,test,0.95,0.73,0.6935,GEOINT,NonKinetic,0,,,,favorable,favorable,,GovContractor,fail,None,NAVWAR,proj-20,20,Space Force,Service HQ,feasibility,13,5
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,13,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,13,2
Title10,,Space,1.0,POM,funding,0.3675,0.315,0.115762,SIGINT,Kinetic,5,,,,favorable,,,GovLab,fail,SAIC,NRL,proj-22,22,IC,Agency,feasibility,13,2
Title10,,EW,1.0,External,funding,0.3675,0.28,0.1029,HUMINT,NonKinetic,5,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-25,25,USMC,Service HQ,feasibility,13,4
