authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Air,,POM,legal,,,,,,,,,,SIGINT,NonKinetic,0,0.354125,0.45125,0.0975,unfavorable,,1.0,0.144625,GovContractor,unfavorable,NG,AFLCMC,proj-1,1,IC,POC-User,feasibility,3,4
Title10,Commercial,ISR,,ProgramBase,contracting,,,0.4725,,0.6,0.2835,,1.0,,SIGINT,Kinetic,2,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,3,4
Title50,Commercial,Land,,UFR,attempt,,,0.4725,,0.6,0.2835,,1.0,,GEOINT,NonKinetic,,,,,not_conducted,,,,GovLab,start,Leidos,NAVWAR,proj-18,18,USMC,CCMD,,3,3
Title50,,Land,,UFR,legal,,,,,,,,,,GEOINT,NonKinetic,0,0.400675,0.38475,0.2305,unfavorable,,1.0,0.164575,GovLab,unfavorable,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,3,3
Title10,,Land,1.0,UFR,funding,,,0.61965,1.0,0.28,0.138802,1.0,1.0,0.8,SIGINT,NonKinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,3,4
Title10,,Air,1.0,POM,funding,,,0.568575,1.0,0.36,0.16375,1.0,1.0,0.8,SIGINT,NonKinetic,1,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,3,3
Title50,,ISR,1.0,Partner,funding,,,0.354025,1.0,0.3,0.084966,1.0,1.0,0.8,MASINT,NonKinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,3,3
Title50,,Maritime,1.0,Partner,attempt,,,0.354025,1.0,0.3,0.084966,1.0,1.0,0.8,MASINT,Kinetic,,,,,not_conducted,,,,GovContractor,start,None,DARPA,proj-2,2,Army,POC-User,,4,3
Title50,,Maritime,,Partner,legal,,,,,,,,,,MASINT,Kinetic,0,0.417375,0.35375,0.1925,unfavorable,,1.0,0.178875,GovContractor,unfavorable,None,DARPA,proj-2,2,Army,POC-User,feasibility,4,3
Title10,,Land,,ProgramBase,attempt,,,,,,,,,,HUMINT,NonKinetic,,0.417375,0.35375,0.1925,not_conducted,,1.0,0.178875,GovLab,start,Leidos,NRL,proj-13,13,USMC,POC-User,,4,3
Title10,,Land,,ProgramBase,legal,,,,,,,,,,HUMINT,NonKinetic,0,0.3606,0.442,0.316,unfavorable,,1.0,0.1474,GovLab,unfavorable,Leidos,NRL,proj-13,13,USMC,POC-User,feasibility,4,3
Title10,,ISR,1.0,ProgramBase,funding,,,0.37485,1.0,0.4,0.119952,1.0,1.0,0.8,SIGINT,Kinetic,3,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,4,4
Title50,,Land,1.0,UFR,attempt,,,0.37485,1.0,0.4,0.119952,1.0,1.0,0.8,GEOINT,NonKinetic,,,,,unfavorable,,,,GovLab,start,Leidos,NAVWAR,proj-18,18,USMC,CCMD,,4,3
Title50,GovLab,Land,,UFR,contracting,,,0.605625,,0.6,0.363375,,1.0,,GEOINT,NonKinetic,0,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,4,3
Title10,,Land,1.0,UFR,funding,,,0.4046,1.0,0.28,0.09063,1.0,1.0,0.8,SIGINT,NonKinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,4,4
Title10,Commercial,Air,,POM,contracting,,,0.5355,,0.6,0.3213,,1.0,,SIGINT,NonKinetic,2,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,4,3
Title50,,ISR,1.0,Partner,funding,,,0.3136,1.0,0.3,0.075264,1.0,1.0,0.8,MASINT,NonKinetic,4,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,4,3
Title10,,ISR,1.0,ProgramBase,attempt,,,0.3136,1.0,0.3,0.075264,1.0,1.0,0.8,HUMINT,Kinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,DEVCOM,proj-12,12,USMC,CCMD,,5,2
Title10,,ISR,,ProgramBase,legal,,,,,,,,,,HUMINT,Kinetic,0,0.420525,0.34925,0.4015,unfavorable,,1.0,0.180225,GovContractor,unfavorable,SAIC,DEVCOM,proj-12,12,USMC,CCMD,feasibility,5,2
Title10,,ISR,1.0,ProgramBase,funding,,,0.3332,1.0,0.4,0.106624,1.0,1.0,0.8,SIGINT,Kinetic,4,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,5,4
Title50,GovLab,Land,,UFR,contracting,,,0.4725,,0.6,0.2835,,1.0,,GEOINT,NonKinetic,1,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,5,3
Title50,GovLab,Cyber,,POM,attempt,,,0.4725,,0.6,0.2835,,1.0,,HUMINT,Kinetic,,,,,not_conducted,,,,Commercial,start,Boeing,DARPA,proj-23,23,USMC,CCMD,,5,2
Title50,,Cyber,,POM,legal,,,,,,,,,,HUMINT,Kinetic,0,0.485205,0.25685,0.3863,unfavorable,,1.0,0.207945,Commercial,unfavorable,Boeing,DARPA,proj-23,23,USMC,CCMD,feasibility,5,2
Title10,,Land,1.0,UFR,funding,,,0.3136,1.0,0.28,0.070246,1.0,1.0,0.8,SIGINT,NonKinetic,4,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,5,4
Title10,,Air,1.0,POM,funding,,,0.4284,1.0,0.36,0.123379,1.0,1.0,0.8,SIGINT,NonKinetic,3,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,5,3
Title50,,ISR,1.0,Partner,funding,,,0.275625,1.0,0.3,0.06615,1.0,1.0,0.8,MASINT,NonKinetic,5,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,5,3
Title10,,ISR,1.0,ProgramBase,funding,,,0.294,1.0,0.4,0.09408,1.0,1.0,0.8,SIGINT,Kinetic,5,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,6,4
Title50,,Land,1.0,UFR,funding,,,0.312375,1.0,0.28,0.069972,1.0,1.0,0.8,GEOINT,NonKinetic,2,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,6,3
Title10,,Land,1.0,UFR,funding,,,0.25725,1.0,0.28,0.057624,1.0,1.0,0.8,SIGINT,NonKinetic,5,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,6,4
Title10,Commercial,Air,,POM,contracting,,,0.42,,0.6,0.252,,1.0,,SIGINT,NonKinetic,4,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,6,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,6,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,6,3
Title10,,Space,1.0,POM,attempt,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,HUMINT,Kinetic,,,,,not_conducted,,,,Commercial,start,Boeing,DARPA,proj-10,10,Space Force,POC-User,,7,4
Title10,,Space,1.0,POM,funding,,,0.595,1.0,0.36,0.17136,1.0,1.0,0.8,HUMINT,Kinetic,0,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,7,4
Title10,,ISR,1.0,ProgramBase,funding,,,0.25725,1.0,0.4,0.08232,1.0,1.0,0.8,SIGINT,Kinetic,6,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,7,4
Title50,,Land,1.0,UFR,funding,,,0.2744,1.0,0.28,0.061466,1.0,1.0,0.8,GEOINT,NonKinetic,3,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,7,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,6,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,7,4
Title10,Commercial,Air,,POM,contracting,,,0.3675,,0.6,0.2205,,1.0,,SIGINT,NonKinetic,5,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,7,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,7,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,7,3
Title10,Commercial,Space,,POM,contracting,,,0.63175,,0.6,0.37905,,1.0,,HUMINT,Kinetic,1,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,8,4
Title10,Commercial,ISR,,ProgramBase,contracting,,,0.343,,0.6,0.2058,,1.0,,SIGINT,Kinetic,7,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,8,4
Title50,,Land,1.0,UFR,funding,,,0.25725,1.0,0.28,0.057624,1.0,1.0,0.8,GEOINT,NonKinetic,4,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,8,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,7,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,8,4
Title50,,Maritime,1.0,External,attempt,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,HUMINT,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,NAVWAR,proj-29,29,Navy,POC-User,,8,4
Title50,Commercial,Maritime,,External,contracting,,,0.665,,0.6,0.399,,1.0,,HUMINT,Kinetic,0,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,proj-29,29,Navy,POC-User,feasibility,8,4
Title10,,Air,1.0,POM,funding,,,0.2744,1.0,0.36,0.079027,1.0,1.0,0.8,SIGINT,NonKinetic,6,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,8,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,8,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,8,3
Title10,,Space,1.0,POM,funding,,,0.42525,1.0,0.36,0.122472,1.0,1.0,0.8,HUMINT,Kinetic,2,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,9,4
Title10,,ISR,1.0,ProgramBase,funding,,,0.2401,1.0,0.4,0.076832,1.0,1.0,0.8,SIGINT,Kinetic,8,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,9,4
Title50,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,GEOINT,NonKinetic,5,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,9,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,8,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,9,4
Title50,,Maritime,1.0,External,funding,,,0.5985,1.0,0.32,0.153216,1.0,1.0,0.8,HUMINT,Kinetic,1,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,proj-29,29,Navy,POC-User,feasibility,9,4
Title10,,Air,1.0,POM,funding,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,SIGINT,NonKinetic,7,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,9,3
Title50,,Cyber,1.0,Partner,attempt,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,GEOINT,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,NRL,proj-34,34,IC,CCMD,,9,3
Title50,,Cyber,1.0,Partner,funding,,,0.441,1.0,0.3,0.10584,1.0,1.0,0.8,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,NRL,proj-34,34,IC,CCMD,feasibility,9,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,9,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,9,3
Title10,,Space,1.0,POM,funding,,,0.354025,1.0,0.36,0.101959,1.0,1.0,0.8,HUMINT,Kinetic,3,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,10,4
Title10,,ISR,1.0,ProgramBase,funding,,,0.2401,1.0,0.4,0.076832,1.0,1.0,0.8,SIGINT,Kinetic,9,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,10,4
Title50,GovLab,Land,,UFR,contracting,,,0.343,,0.6,0.2058,,1.0,,GEOINT,NonKinetic,6,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,10,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,9,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,10,4
Title50,,Maritime,1.0,External,funding,,,0.508725,1.0,0.32,0.130234,1.0,1.0,0.8,HUMINT,Kinetic,2,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,proj-29,29,Navy,POC-User,feasibility,10,4
Title10,,Air,1.0,POM,funding,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,SIGINT,NonKinetic,8,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,10,3
Title50,,Cyber,1.0,Partner,funding,,,0.395675,1.0,0.3,0.094962,1.0,1.0,0.8,GEOINT,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,NRL,proj-34,34,IC,CCMD,feasibility,10,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,10,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,10,3
Title10,,Air,1.0,External,attempt,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,SIGINT,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,DEVCOM,proj-37,37,USMC,CCMD,,10,4
Title10,,Air,1.0,External,funding,,,0.441,1.0,0.32,0.112896,1.0,1.0,0.8,SIGINT,Kinetic,0,,,,favorable,,,,Commercial,fail,LM,DEVCOM,proj-37,37,USMC,CCMD,feasibility,10,4
Title10,,Space,1.0,POM,funding,,,0.3136,1.0,0.36,0.090317,1.0,1.0,0.8,HUMINT,Kinetic,4,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,11,4
Title10,,ISR,1.0,ProgramBase,funding,,,0.2401,1.0,0.4,0.076832,1.0,1.0,0.8,SIGINT,Kinetic,10,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,11,4
Title50,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,GEOINT,NonKinetic,7,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,11,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,10,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,11,4
Title50,,Maritime,1.0,External,funding,,,0.4046,1.0,0.32,0.103578,1.0,1.0,0.8,HUMINT,Kinetic,3,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,proj-29,29,Navy,POC-User,feasibility,11,4
Title10,,Air,1.0,POM,funding,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,SIGINT,NonKinetic,9,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,11,3
Title50,,Cyber,1.0,Partner,funding,,,0.3528,1.0,0.3,0.084672,1.0,1.0,0.8,GEOINT,Kinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,NRL,proj-34,34,IC,CCMD,feasibility,11,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,11,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,11,3
Title10,,Air,1.0,External,funding,,,0.3724,1.0,0.32,0.095334,1.0,1.0,0.8,SIGINT,Kinetic,1,,,,favorable,,,,Commercial,fail,LM,DEVCOM,proj-37,37,USMC,CCMD,feasibility,11,4
Title10,,Space,1.0,POM,funding,,,0.275625,1.0,0.36,0.07938,1.0,1.0,0.8,HUMINT,Kinetic,5,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,12,4
Title10,,ISR,1.0,ProgramBase,attempt,,,0.275625,1.0,0.36,0.07938,1.0,1.0,0.8,HUMINT,Kinetic,,,,,unfavorable,,,,GovContractor,start,SAIC,DEVCOM,proj-12,12,USMC,CCMD,,12,2
Title10,,ISR,1.0,ProgramBase,funding,,,0.4655,1.0,0.4,0.14896,1.0,1.0,0.8,HUMINT,Kinetic,0,,,,unfavorable,,,,GovContractor,fail,SAIC,DEVCOM,proj-12,12,USMC,CCMD,feasibility,12,2
Title10,,ISR,1.0,ProgramBase,funding,,,0.2401,1.0,0.4,0.076832,1.0,1.0,0.8,SIGINT,Kinetic,11,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,12,4
Title50,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,GEOINT,NonKinetic,8,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,12,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,11,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,12,4
Title50,,Maritime,1.0,External,funding,,,0.315,1.0,0.32,0.08064,1.0,1.0,0.8,HUMINT,Kinetic,4,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,proj-29,29,Navy,POC-User,feasibility,12,4
Title10,,Air,1.0,POM,funding,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,SIGINT,NonKinetic,10,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,12,3
Title50,,Cyber,1.0,Partner,funding,,,0.312375,1.0,0.3,0.07497,1.0,1.0,0.8,GEOINT,Kinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,NRL,proj-34,34,IC,CCMD,feasibility,12,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,12,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,12,3
Title10,,Air,1.0,External,funding,,,0.3087,1.0,0.32,0.079027,1.0,1.0,0.8,SIGINT,Kinetic,2,,,,favorable,,,,Commercial,fail,LM,DEVCOM,proj-37,37,USMC,CCMD,feasibility,12,4
Title10,,Space,1.0,Partner,attempt,,,0.3087,1.0,0.32,0.079027,1.0,1.0,0.8,SIGINT,Kinetic,,,,,not_conducted,,,,GovContractor,start,None,NAVWAR,proj-9,9,Air Force,CCMD,,13,4
Title10,GovContractor,Space,,Partner,contracting,,,0.665,,0.65,0.43225,,1.0,,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,None,NAVWAR,proj-9,9,Air Force,CCMD,feasibility,13,4
Title10,,Space,1.0,POM,funding,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,HUMINT,Kinetic,6,,,,favorable,,,,Commercial,fail,Boeing,DARPA,proj-10,10,Space Force,POC-User,feasibility,13,4
Title10,,ISR,1.0,ProgramBase,funding,,,0.3969,1.0,0.4,0.127008,1.0,1.0,0.8,HUMINT,Kinetic,1,,,,unfavorable,,,,GovContractor,fail,SAIC,DEVCOM,proj-12,12,USMC,CCMD,feasibility,13,2
Title10,,Land,1.0,ProgramBase,attempt,,,0.3969,1.0,0.4,0.127008,1.0,1.0,0.8,HUMINT,NonKinetic,,,,,unfavorable,,,,GovLab,start,Leidos,NRL,proj-13,13,USMC,POC-User,,13,3
Title10,,Land,1.0,ProgramBase,funding,,,0.32585,1.0,0.4,0.104272,1.0,1.0,0.8,HUMINT,NonKinetic,0,,,,unfavorable,,,,GovLab,fail,Leidos,NRL,proj-13,13,USMC,POC-User,feasibility,13,3
Title10,,ISR,1.0,ProgramBase,funding,,,0.2401,1.0,0.4,0.076832,1.0,1.0,0.8,SIGINT,Kinetic,12,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,13,4
Title50,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,GEOINT,NonKinetic,9,,,,unfavorable,,,,GovLab,fail,Leidos,NAVWAR,proj-18,18,USMC,CCMD,feasibility,13,3
Title10,,Land,1.0,UFR,funding,,,0.2401,1.0,0.28,0.053782,1.0,1.0,0.8,SIGINT,NonKinetic,12,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,13,4
Title50,,Maritime,1.0,External,funding,,,0.25725,1.0,0.32,0.065856,1.0,1.0,0.8,HUMINT,Kinetic,5,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,proj-29,29,Navy,POC-User,feasibility,13,4
Title10,,Air,1.0,POM,funding,,,0.2401,1.0,0.36,0.069149,1.0,1.0,0.8,SIGINT,NonKinetic,11,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,13,3
Title50,,Cyber,,Partner,test,1.0,0.5,0.4032,1.0,0.65,0.13104,1.0,1.0,,GEOINT,Kinetic,4,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,fail,Leidos,NRL,proj-34,34,IC,CCMD,feasibility,13,3
Title50,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.057624,1.0,1.0,0.8,MASINT,NonKinetic,13,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,13,3
