Block,Record_ID,Service_or_Agency,Organization,Program_Name,Program_Acronym,Portfolio_or_Mission_Area,Capability_Area,Program_Element_Number,Line_Item,Appropriation_Type,Budget_Activity,Funding_Category,Fiscal_Year,POM_Window,Funding_ThenYear_USD_M,Funding_Base_USD_M,Classification_Level,TRL_or_Maturity,Tier_or_Priority,Sponsor,Executor,Partner_Nations,RDTandE_Phase,Transition_Pathway,IC_or_DoD_Stakeholders,Risk_or_Issue_Flags,Alignment_Notes,Source_Document,Source_Page_or_Table,Source_URL,Analyst_Notes
"Navy BA6","NAVY-BA6-INST","Navy","Department of the Navy","Test Instrumentation Maintenance & Calibration","", "RDT&E Infrastructure / Enabler","Sustainment and calibration of test instrumentation for Navy RDT&E","TBD_BA6_NAVY_INST","TBD_BA6_NAVY_INST","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","NSWC/NUWC/NAWC instrumentation teams","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Calibration backlogs can delay testing and data quality","Enables accurate data for verification and validation","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Influences test quality and schedule in ABM."
"Navy BA6","NAVY-BA6-WORKFORCE","Navy","Department of the Navy","RDT&E Workforce Development & Training","", "RDT&E Infrastructure / Enabler","Education, training, and upskilling for the Navy’s RDT&E workforce","TBD_BA6_NAVY_WORKFORCE","TBD_BA6_NAVY_WORKFORCE","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","ONR + warfare center HR/training offices","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Workforce gaps or skill shortages can increase schedule and risk","Supports talent pipeline and retention for technical competence","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Modeled as productivity factor on ABM execution."
"Navy BA6","NAVY-BA6-ENV","Navy","Department of the Navy","RDT&E Environmental, Safety & Compliance Support","", "RDT&E Infrastructure / Enabler","Environmental permitting, safety oversight, NEPA compliance for RDT&E","TBD_BA6_NAVY_ENV","TBD_BA6_NAVY_ENV","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","NAVFAC / CNIC / range environmental offices","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Environmental or safety issues can pause testing","Enables compliant and safe execution of RDT&E","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Modeled as occasional disruptions or additional lead time in ABM."
"Navy BA7","NAVY-BA7-AEGIS-MOD","Navy","Department of the Navy","AEGIS Combat System Modernization (Baseline Upgrade Series)","AEGIS MOD","C4ISR / BMD / EW","Combat system modernization, sensor fusion, threat libraries","TBD_BA7_NAVY_AEGIS","TBD_BA7_NAVY_AEGIS","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO IWS","PEO IWS / NSWC Dahlgren","","Operational Systems Development","BA4/BA5 combat system builds → BA7 AEGIS modernization → Fleet deployment","Navy, MDA, USSTRATCOM, CCMDs","Complexity of fleet roll-out; cyber/EW threat evolution","Supports IAMD, BMD, and distributed fire control; high strategic priority","Navy R-1 BA7 surface combatant modernization lines","","https://comptroller.defense.gov/Budget-Materials/","Key BA7 end-state node in ABM; connects sensor, weapons, and C2 portfolios."
"Navy BA7","NAVY-BA7-SSDS","Navy","Department of the Navy","Ship Self-Defense System (SSDS) Incremental Upgrades","SSDS MOD","EW / C4ISR / Force Protection","SSDS threat libraries, sensors, fire-control integration","TBD_BA7_NAVY_SSDS","TBD_BA7_NAVY_SSDS","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO IWS","NSWC Dahlgren / Port Hueneme","","Operational Systems Development","BA4 sensor/weapon ATDs → BA7 SSDS modernization","Navy, carrier/amphibious readiness stakeholders","Pace of threat evolution vs SSDS update cycle","Critical to CVN/LHA/LHD survivability against modern threats","Navy R-1 BA7 SSDS lines","","https://comptroller.defense.gov/Budget-Materials/","Model as key force-protection modernization node in ABM."
"Navy BA7","NAVY-BA7-UW-SYS","Navy","Department of the Navy","Undersea Warfare System Modernization (Sonar/Combat Control/Torpedo Mods)","UW MOD","Undersea ISR / ASW / Strike","Submarine combat control and sonar upgrades, torpedo software","TBD_BA7_NAVY_UW","TBD_BA7_NAVY_UW","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO SUB","NUWC Newport / Keyport","","Operational Systems Development","BA4 undersea ATDs → BA7 submarine & torpedo modernization","Navy, USSTRATCOM, CCMDs","Complexity of integrating new capabilities into nuclear and SSN fleets","Supports undersea dominance and survivability of strategic assets","Navy R-1 BA7 undersea lines","","https://comptroller.defense.gov/Budget-Materials/","Major undersea node linking sensors, weapons, and C2 in ABM."
"Navy BA7","NAVY-BA7-SURF-MOD","Navy","Department of the Navy","Surface Warfare Modernization (Radar/EW/ASW/Gun/FC)","SURFACE MOD","EW / Radar / ASW / C4I","Radar increments, EW upgrades, ASW improvements for surface combatants","TBD_BA7_NAVY_SURF","TBD_BA7_NAVY_SURF","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO IWS / PEO USC","NSWC Dahlgren / NSWC Crane / PEO IWS","","Operational Systems Development","BA4 radar/EW/ASW ATDs → BA7 surface combatant modernization","Navy, CCMDs","Budget and shipyard availability constraints affecting modernization pace","Improves lethality/survivability of destroyer/frigate fleets","Navy R-1 BA7 surface warfare lines","","https://comptroller.defense.gov/Budget-Materials/","Surface warfare modernization hub in ABM."
"Navy BA7","NAVY-BA7-AV-OFP","Navy","Department of the Navy","Naval Aviation OFP & Mission System Modernization","AV OFP","ISR / EW / Aviation","OFP updates, mission system refreshes, sensor integrations for Navy aircraft","TBD_BA7_NAVY_AV","TBD_BA7_NAVY_AV","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","NAVAIR","NAWCAD / NAWCWD","","Operational Systems Development","BA4 avionics ATDs → BA7 aviation OFP & mission system modernization","Navy, Marine Corps, joint aviation stakeholders","Mission system complexity; software backlog risk","Maintains relevance of naval aviation platforms with new sensors/weapons","Navy R-1 BA7 aviation lines","","https://comptroller.defense.gov/Budget-Materials/","Key aviation modernization node for ABM."
"Navy BA7","NAVY-BA7-EW-MOD","Navy","Department of the Navy","Navy EW Modernization (SEWIP, Airborne EW Suites)","EW MOD","EW / SIGINT","Ship-based and airborne EW modernization including threat libraries","TBD_BA7_NAVY_EW","TBD_BA7_NAVY_EW","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO IWS / NAVAIR","NSWC Crane / NAWCWD Pt Mugu","","Operational Systems Development","BA4 EW ATDs → BA7 fleet EW modernization","Navy, Joint EW community","Rapid threat evolution; integration across platforms and networks","Core to maintaining EW advantage at sea and in the air","Navy R-1 BA7 EW lines","","https://comptroller.defense.gov/Budget-Materials/","EW modernization super-node in ABM."
"Navy BA7","NAVY-BA7-MCM-MOD","Navy","Department of the Navy","Mine Warfare & MCM Modernization (Surface/UUV/Aviation)","MCM MOD","MCM / Undersea ISR","Mine-hunting sensors, USV/UUV mission packages, aviation MCM payloads","TBD_BA7_NAVY_MCM","TBD_BA7_NAVY_MCM","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO USC / PEO MCM","NSWC Panama City","","Operational Systems Development","BA4 MCM ATDs → BA7 MCM modernization","Navy, joint mine warfare stakeholders","Environmental and operational complexity in chokepoints","Supports fleet access and sea control in mined waters","Navy R-1 BA7 MCM lines","","https://comptroller.defense.gov/Budget-Materials/","MCM modernization node affecting maritime freedom of movement in ABM."
"Navy BA7","NAVY-BA7-NET-MOD","Navy","Department of the Navy","Tactical Data Links & Fleet Network Modernization","NET MOD","C4ISR / Cyber","Link-16, TTNT, SATCOM gateways, encryption, tactical networks","TBD_BA7_NAVY_NET","TBD_BA7_NAVY_NET","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","PEO C4I / PEO IWS","NIWC Pacific / NIWC Atlantic","","Operational Systems Development","BA4 comms/network ATDs → BA7 fleet network modernization","Navy, JRTC, joint C2 stakeholders","Cybersecurity and interoperability risk across platforms","Critical enabler of JADC2 and naval C2 resilience","Navy R-1 BA7 C4I lines","","https://comptroller.defense.gov/Budget-Materials/","Networks/C2 modernization pivot point in ABM."
"Navy BA7","NAVY-BA7-LOG-DIG","Navy","Department of the Navy","Naval Logistics & Maintenance Digital Modernization","LOG MOD","Logistics / Sustainment","Digital modernization for shipyard systems, supply chain, predictive sustainment","TBD_BA7_NAVY_LOG","TBD_BA7_NAVY_LOG","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","NAVSEA / NAVSUP","NAVSEA logistics branches + NAVSUP","","Operational Systems Development","BA4 logistics ATDs → BA7 logistics digital modernization","Navy, shipyards, sustainment stakeholders","Change management risk in logistics processes","Improves readiness, sustainment efficiency, and cost outcomes","Navy R-1 BA7 logistics lines","","https://comptroller.defense.gov/Budget-Materials/","Sustainment and readiness node in ABM."
"Navy BA7","NAVY-BA7-ENV-SAFETY","Navy","Department of the Navy","Environmental, Safety & Range Safety Modernization Programs","ENV SAFETY","Environmental Intel / Range Ops","Environmental compliance systems, range safety tools, hazard assessments","TBD_BA7_NAVY_ENV","TBD_BA7_NAVY_ENV","RDT&E","BA 7 (Operational Systems Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 8–9","Tier 2 – Medium","NAVFAC / CNIC","NAVFAC / CNIC","","Operational Systems Development","BA4 environmental/safety RDT&E → BA7 safety modernization","Navy, regulators, communities near ranges","Regulatory and public perception risk; can constrain test operations","Ensures safe and compliant support to fleet testing/training","Navy R-1 BA7 safety/environment lines","","https://comptroller.defense.gov/Budget-Materials/","Modeled as constraint/enabler on range-heavy programs in ABM."
"USAF BA2","USAF-BA2-0602202F","Air Force","Department of the Air Force","Aerospace Materials & Structures Applied Research","", "Materials / Air / Space","Advanced aerospace composites, high-temp materials, fatigue, coatings","0602202F","0602202F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 3 – Low","AFRL","AFRL/RX","","Applied Research","BA2 materials S&T → BA3 airframe/engine ATDs → BA4 platform engineering","Air Force, USSF, OSD(R&E)","Material qualification and cost risks","Supports air/space platform survivability and performance; Title IV RDT&E","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Core AFRL S&T line feeding multiple air and space programs in ABM."
"USAF BA2","USAF-BA2-0602203F","Air Force","Department of the Air Force","Aerospace Propulsion & Power Applied Research","", "Propulsion / Hypersonics","Turbine engine tech, hypersonic propulsion fundamentals, power/thermal management","0602203F","0602203F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RQ","","Applied Research","BA2 propulsion S&T → BA3 propulsion ATDs → BA4 engine integration","Air Force, OSD(R&E)","High technical risk in hypersonic regimes","Key S&T enabler for hypersonics and advanced aircraft","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Strong coupling with hypersonics and engine PoRs in ABM."
"USAF BA2","USAF-BA2-0602204F","Air Force","Department of the Air Force","Sensors, EO/IR & Radar Applied Research","", "ISR / Sensors / SIGINT","EO/IR sensors, radar techniques, RF apertures, SIGINT sensors, multispectral detection","0602204F","0602204F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RY","","Applied Research","BA2 sensor S&T → BA3 sensing ATDs → BA4 sensor integration","Air Force, USSF, joint ISR stakeholders","Sensor complexity, SWaP and cost constraints","Foundational to ISR, targeting, and SDA programs","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Multiple downstream consumers in ABM (ISR, weapons, platforms)."
"USAF BA2","USAF-BA2-0602206F","Air Force","Department of the Air Force","Autonomy & Human-Machine Teaming Applied Research","", "Autonomy / AI/ML / ISR","Autonomous behaviors, human-machine teaming, cooperative control","0602206F","0602206F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL Autonomy Core","","Applied Research","BA2 autonomy S&T → BA3 autonomy ATDs → BA4 system integration","Air Force, USSF, OSD(R&E)","Trust, certification, and CONOPS risk","Supports uncrewed systems, CCA, and autonomy adoption","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Important behavioral driver for autonomous agents in ABM."
"USAF BA2","USAF-BA2-0602210F","Air Force","Department of the Air Force","Space Science & Space Sensor Applied Research","", "Space / ISR / SDA","SDA, orbital sensing, space-environment science, resilience of spacecraft systems","0602210F","0602210F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RV","","Applied Research","BA2 space S&T → BA3 space ATDs → BA4 space system development","USSF, Air Force, OSD(R&E)","Space environment uncertainty and on-orbit validation","Supports resilient space architectures and SDA missions","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Key space S&T line connecting to USSF portfolios in ABM."
"USAF BA2","USAF-BA2-0602270F","Air Force","Department of the Air Force","Electronic Warfare & Electronic Protection Applied Research","", "EW / Cyber / SIGINT","RF techniques, EP, adaptive jamming, threat signal characterization","0602270F","0602270F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RYEW","","Applied Research","BA2 EW S&T → BA3 EW ATDs → BA4 EW system integration","Air Force, joint EW stakeholders","Threat evolution and spectrum management risks","Core S&T for air/space EW and EM spectrum ops","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Feeds multiple EW modernizations and SEAD/DEAD capabilities in ABM."
"USAF BA2","USAF-BA2-0602205F","Air Force","Department of the Air Force","Airframe Technology Applied Research","", "Air / LO / Materials","Airframe structures, stealth shaping, control surfaces, low-observable coatings","0602205F","0602205F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RQ + AFRL/RX","","Applied Research","BA2 airframe S&T → BA3 configuration ATDs → BA4 aircraft development","Air Force, OSD(R&E)","Cost and manufacturability risks","Supports new airframe design and upgrades to legacy fleets","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Airframe fundamentals node impacting many future aircraft in ABM."
"USAF BA2","USAF-BA2-0602271F","Air Force","Department of the Air Force","Energy & Thermal Management Applied Research","", "Energy / Propulsion","Fuel efficiency, thermal management, power systems for high-demand platforms","0602271F","0602271F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RQT","","Applied Research","BA2 energy S&T → BA3 power/thermal ATDs → BA4 platform integration","Air Force, OSD(R&E)","Thermal constraints on high-power systems (DE, sensors, comms)","Enabler for advanced sensors, DE, and high-power payloads","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Cross-cutting constraint/enabler for many platforms in ABM."
"USAF BA2","USAF-BA2-0602280F","Air Force","Department of the Air Force","Cyber Science & Secure Computing Applied Research","", "Cyber / C4ISR","Secure computing, cyber defense, resilient comms, intrusion detection","0602280F","0602280F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RI","","Applied Research","BA2 cyber S&T → BA3 cyber ATDs → BA4 defensive cyber tools","Air Force, joint cyber stakeholders","Adversary adaptation; complexity of securing legacy systems","Foundational to cyber resilience of C4ISR and weapon systems","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Cyber resilience driver for many ABM nodes."
"USAF BA2","USAF-BA2-0602300F","Air Force","Department of the Air Force","Human Performance & Training Science Applied Research","", "Human Systems / Training","Cognitive performance, training optimization, human factors, LVC foundations","0602300F","0602300F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","711 HPW","","Applied Research","BA2 human systems S&T → BA3 training/HP ATDs → BA4 training system integration","Air Force, USSF, joint training stakeholders","Adoption and behavior change risks","Supports better crew performance, reduced mishaps, improved training","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Human-systems node affecting mission effectiveness in ABM."
"USAF BA2","USAF-BA2-0602211F","Air Force","Department of the Air Force","Space Weather & Space Environment Applied Research","", "Space / Environmental Intel","Space weather, ionospheric disturbances, radiation effects, orbital drag","0602211F","0602211F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RVB","","Applied Research","BA2 space environment S&T → BA3 models/tools → BA4 space system design inputs","USSF, Air Force, OSD(R&E)","Uncertainty in environment modeling; validation limits","Improves resilience and performance of space systems and SDA","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Environmental factor for space assets in ABM."
"USAF BA2","USAF-BA2-0602221F","Air Force","Department of the Air Force","Advanced RF Systems & Waveform Science Applied Research","", "RF / ISR / EW","RF apertures, cognitive RF, distributed sensing, spectrum sharing","0602221F","0602221F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RY","","Applied Research","BA2 RF S&T → BA3 RF ATDs → BA4 RF system integration","Air Force, USSF, joint RF stakeholders","Spectrum congestion and interference risks","Supports sensing, comms, and EW modernization","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","RF node linking multiple portfolios in ABM."
