Program_ID,Mapped_PE_Number,Program_Name,Agency,Service_Component,Sub_Agency,Budget_Activity,Mission_Focus,Intel_Discipline,Authority_Alignment,FY24_Actual_$K,FY25_Enacted_$K,FY26_Request_$K,Period_of_Performance,Size_of_Team,Lab_Unit_Or_Contractor,Organic_Capabilities,Outsourced_Capabilities,Current_Status,Network_Centrality_Score,Transition_Risk_Index,Tech_Maturity_Level,Mission_Criticality_Score,Cross_Domain_Dependency_Count,Supply_Chain_Risk_Level,Innovation_Leverage_Factor,Sourcing_Status,Notes
ARMY_BA5_001,0605013A,Army Tactical Network Fielding Prep,DoD,Army,PEO C3T,BA5,C2_JADC2,ISR,Title10,220000,235000,245000,FY24-FY26,60,PEO C3T,"Test & evaluation; fielding planning","Deployment support contracts",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Near-transition line; low technical risk, higher institutional risk."
NAVY_BA2_001,0601152N,Naval S&T – Ocean Systems,DoD,Navy,ONR,BA2,Maritime_Warfare,NA,Title10,70000,72000,74000,FY24-FY26,28,ONR,"Basic research program mgmt","Academic ocean labs",Research,3,2,2,3,1,Low,3,R1_VERIFIED,"Low-TRL maritime R&D."
NAVY_BA3_001,0603564N,Unmanned Surface & Undersea Systems,DoD,Navy,NavalX / PEO USC,BA3,Autonomy_UxS,ISR,Title10,160000,175000,190000,FY24-FY26,50,PEO USC,"Vehicle concepts; autonomy integration","Shipyards; autonomy vendors",Prototype,4,3,4,5,3,Medium,4,R1_VERIFIED,"Rich UxS transition case."
NAVY_BA4_001,0604755N,Next-Gen Naval EW Systems,DoD,Navy,PEO IWS,BA4,EW,SIGINT,Title10,210000,230000,250000,FY24-FY26,65,PEO IWS,"EW design; integration","RF hardware manufacturing",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"EW system with complex supply chain."
NAVY_BA6_001,0605863N,Naval Test Range Modernization,DoD,Navy,Test & Evaluation,BA6,Test_Ranges,NA,Title10,90000,95000,100000,FY24-FY26,30,Navy Test Centers,"Range ops; instrumentation","Construction; instrumentation vendors",Ongoing,3,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Enabler for many transitions."
AF_BA2_001,0602201F,AF Aerospace Vehicle Tech,DoD,Air Force,AFRL,BA2,Air_Dominance,NA,Title10,95000,98000,102000,FY24-FY26,32,AFRL,"Aero research; modeling","Special test facilities",Research,3,2,3,4,1,Low,3,R1_VERIFIED,"Air-focused basic/applied example."
AF_BA3_001,0603211F,Autonomous Collaborative Platforms,DoD,Air Force,AFLCMC,BA3,Autonomy_UxS,ISR,Title10,170000,190000,210000,FY24-FY26,48,AFLCMC / AFRL,"Concepts; autonomy algorithms","Airframe primes",Prototype,4,3,4,5,3,Medium,4,R1_VERIFIED,"Good ABM case for autonomy transition."
AF_BA4_001,0604759F,Advanced Airborne Sensors,DoD,Air Force,PEO ISR & SOF,BA4,Sensors,ISR,Title10,260000,280000,295000,FY24-FY26,70,PEO ISR,"Sensor integration; flight test","Sensor vendors; aircraft mods",Development,5,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Strong ISR transition candidate."
AF_BA5_001,0605018F,Tactical Data Link Modernization,DoD,Air Force,PEO C3I,BA5,C2_JADC2,ISR,Title10,185000,200000,210000,FY24-FY26,55,PEO C3I,"Integration; fielding support","Enterprise IT services",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Near-O&M transition with institutional friction."
SOCOM_BA3_001,MFP11_301,SOF Precision Strike Enablers,DoD,SOCOM,SOF AT&L,BA3,Strike,ISR,MFP11,60000,65000,70000,FY24-FY26,22,SOCOM AT&L,"Concept dev; SOF integration","Platform vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Peculiar funding; watch MFP-11 behavior."
SOCOM_BA4_001,MFP11_401,SOF ISR System Integration,DoD,SOCOM,SOF AT&L,BA4,ISR,MultiINT,MFP11,90000,95000,100000,FY24-FY26,30,SOCOM AT&L,"ISR system design; integration","Prime integrators",Development,5,3,5,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Joint-IC/DoD boundary behavior."
SOCOM_BA5_001,MFP11_501,SOF Comms & Network Fielding,DoD,SOCOM,SOF AT&L,BA5,C2_JADC2,ISR,MFP11,75000,80000,83000,FY24-FY26,26,SOCOM AT&L,"Fielding support; training","Deployment support contracts",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Late-stage transition with high mission need."
DTRA_BA2_001,DTRA_201,CWMD Basic Science,DoD,DTRA,Research Directorate,BA2,CBRNE,CBRNE,Title10;Title50,50000,52000,54000,FY24-FY26,20,DTRA Labs,"Threat modeling; agent science","Academic partners",Research,4,2,2,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Dual Title 10/50; good hybrid authority example."
DTRA_BA3_001,DTRA_301,CWMD Sensing & Defeat Prototypes,DoD,DTRA,Systems Directorate,BA3,Sensors,CBRNE,Title10;Title50,80000,90000,95000,FY24-FY26,28,DTRA Engineering,"System design; CBRNE expertise","Hardware builds",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Medium TRL; nontrivial transition due to niche mission."
CBDP_BA3_001,CBDP_301,CB Defense Diagnostics,DoD,CBDP,Diagnostics Directorate,BA3,Biotechnology,CBRNE,Title10;Title50,70000,76000,80000,FY24-FY26,24,CBDP Labs,"Assay dev; test design","Kit manufacturing",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Med/CBRNE intersection; interesting for ABM."
CBDP_BA4_001,CBDP_401,CB Detection Systems Dev,DoD,CBDP,Systems Directorate,BA4,Sensors,CBRNE,Title10;Title50,110000,120000,130000,FY24-FY26,28,CBDP Systems,"System integration; field testing","Production & sustainment",Development,5,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Representative BA4 CB defense line."
DHA_BA2_001,DHA_201,Combat Casualty Care Research,DoD,DHA,Research Directorate,BA2,Medical,Medical,Title10,55000,58000,62000,FY24-FY26,22,DHA Labs,"Clinical research design","Academic medical centers",Research,3,2,3,5,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Health-focused RDT&E; longer transition tail."
DHA_BA4_001,DHA_401,Field Medical Systems Dev,DoD,DHA,Medical Systems Directorate,BA4,Medical,Medical,Title10,90000,97000,103000,FY24-FY26,30,DHA Systems,"Med system design; trials","Device OEMs",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Good case for RDT&E→O&M under FDA/regulatory constraints."
DIU_BA3_001,DIU_301,DIU Commercial AI for Logistics,DoD,DIU,AI & Logistics,BA3,AI_ML,NA,Title10,45000,50000,55000,FY24-FY26,12,DIU Specialist Teams,"Tech scouting; vendor engagement","Cloud infra; integration partners",Prototype,3,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DIU-style fast prototyping; tests how commercial integration behaves."
MIP_SENS_001,MIP_701,Defense ISR Sensor Fusion R&D,DoD,Defense Intel,MIP Office,BA3,ISR,MultiINT,MIP,85000,90000,95000,FY24-FY26,27,Defense Intel R&D Center,"Algorithm dev; fusion arch","Cloud/IT integrators",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"MIP-tagged ISR line; good for NIP/MIP interplay modeling."
ARMY_BA3_002,0603005A,Army Counter-UAS Technologies,DoD,Army,RCCTO,BA3,Air_Dominance,ISR,Title10,145000,160000,170000,FY24-FY26,42,RCCTO,"Rapid prototyping; test planning","UAS vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Army RCCTO mid-stage prototypes."
ARMY_BA4_002,0604270A,Long Range Precision Fires,DoD,Army,PEO Missiles & Space,BA4,Strike,ISR,Title10,310000,335000,350000,FY24-FY26,78,PEO M&S,"System integration","Prime contractors",Development,5,4,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"High mission priority; good transition test case."
ARMY_BA5_002,0605019A,Tactical EW System Integration,DoD,Army,PEO IEW&S,BA5,EW,SIGINT,Title10,220000,235000,250000,FY24-FY26,55,PEO IEW&S,"EW integration; S/W engineering","EW hardware production",Development,5,3,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"EW as complex transition environment."
ARMY_BA6_001,0605803A,Test Range Instrumentation,DoD,Army,ATEC,BA6,Test_Ranges,NA,Title10,95000,98000,102000,FY24-FY26,33,ATEC,"Range ops; instrumentation","Construction; vendors",Ongoing,3,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Army ranges support multiple transitions."
NAVY_BA2_002,0601153N,Naval Advanced Energetics Research,DoD,Navy,ONR,BA2,Foundational_Science,NA,Title10,50000,52000,54000,FY24-FY26,22,ONR,"Energetics research","Chem labs",Research,3,2,2,3,1,Low,3,R1_VERIFIED,"Low TRL energetics line."
NAVY_BA3_002,0603502N,Naval Anti-Submarine Warfare Sensors,DoD,Navy,PEO IWS,BA3,Sensors,ISR,Title10,180000,195000,205000,FY24-FY26,50,PEO IWS,"Sensor dev; algorithm dev","Sensor manufacturers",Prototype,4,3,4,5,3,Medium,4,R1_VERIFIED,"ASW sensors; strong Navy modeling case."
NAVY_BA4_002,0604271N,Carrier Air Wing Modernization,DoD,Navy,NAVAIR,BA4,Air_Dominance,ISR,Title10,300000,320000,335000,FY24-FY26,75,NAVAIR,"Aircraft integration","Prime integrators",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Complex multi-platform transition."
NAVY_BA5_001,0605016N,Surface Ship Combat System Upgrades,DoD,Navy,PEO IWS,BA5,C2_JADC2,ISR,Title10,250000,265000,280000,FY24-FY26,60,PEO IWS,"Integration; test","Shipyard modifications",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Navy late-stage transition case."
AF_BA2_002,0602202F,AF Hypersonic Flight Sciences,DoD,Air Force,AFRL,BA2,Air_Dominance,NA,Title10,90000,100000,110000,FY24-FY26,30,AFRL,"Hypersonic research","Special test facilities",Research,3,2,3,4,1,Low,3,R1_VERIFIED,"Hypersonics as high risk, high leverage."
AF_BA3_002,0603210F,AF Alternative Navigation Systems,DoD,Air Force,AFRL,BA3,Sensors,ISR,Title10,130000,140000,150000,FY24-FY26,38,AFRL,"Alt-nav sensors","Manufacturing vendors",Prototype,4,3,4,5,2,Medium,4,R1_VERIFIED,"GPS-denied navigation work."
AF_BA4_002,0604800F,AF EW Systems Dev,DoD,Air Force,AFLCMC,BA4,EW,SIGINT,Title10,230000,245000,260000,FY24-FY26,65,AFLCMC,"EW integration","Prime contractors",Development,5,3,6,5,3,Medium,5,ESTIMATE_ONLY_R1_PENDING,"EW transition into platforms."
AF_BA5_002,0605017F,JTAC Training & Simulation Systems,DoD,Air Force,AETC,BA5,Training,ISR,Title10,85000,90000,96000,FY24-FY26,40,AETC,"Training systems","Simulation integrators",Development,4,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Training system transitions."
SOCOM_BA3_002,MFP11_302,SOF Portable ISR Kits,DoD,SOCOM,SOF AT&L,BA3,ISR,MultiINT,MFP11,70000,75000,80000,FY24-FY26,18,SOCOM AT&L,"Kit design","OEM kit production",Prototype,4,3,4,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"SOF autonomy & ISR kit line."
SOCOM_BA4_002,MFP11_402,SOF Maritime Undersea Mods,DoD,SOCOM,SOF AT&L,BA4,Maritime_Warfare,ISR,MFP11,90000,95000,100000,FY24-FY26,26,SOCOM AT&L,"Hull mods","Shipyard vendors",Development,5,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"SOF maritime integration."
SOCOM_BA5_002,MFP11_502,SOF Tactical Cloud Integration,DoD,SOCOM,SOF AT&L,BA5,C2_JADC2,Cyber,MFP11,80000,85000,90000,FY24-FY26,28,SOCOM AT&L,"Network integration","Cloud integrators",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Near-transition data environment."
DTRA_BA2_002,DTRA_202,Basic Physics for Nuclear Detection,DoD,DTRA,Nuclear Directorate,BA2,Foundational_Science,CBRNE,Title10;Title50,40000,42000,45000,FY24-FY26,15,DTRA Labs,"Basic physics","Academic support",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Dual authority nuclear detection."
DTRA_BA3_002,DTRA_302,Radiological Sensing Prototypes,DoD,DTRA,Nuclear Directorate,BA3,Sensors,CBRNE,Title10;Title50,75000,80000,85000,FY24-FY26,28,DTRA Engineering,"Radiation sensors","Hardware vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Prototype-heavy CBRNE line."
DTRA_BA4_002,DTRA_402,CWMD System Integration,DoD,DTRA,Systems Directorate,BA4,CBRNE,CBRNE,Title10;Title50,115000,125000,135000,FY24-FY26,36,DTRA Integrators,"SoS integration","Manufacturing primes",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"DTRA BA4 transition stressor."
CBDP_BA2_002,CBDP_202,CB Agent Science & Modeling,DoD,CBDP,Science Directorate,BA2,CBRNE,CBRNE,Title10;Title50,55000,58000,60000,FY24-FY26,20,CBDP Labs,"Agent modeling","Special test labs",Research,4,2,2,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CB basic science line."
CBDP_BA3_002,CBDP_302,CB Rapid Diagnostics,DoD,CBDP,Diagnostics Directorate,BA3,Biotechnology,CBRNE,Title10;Title50,85000,90000,95000,FY24-FY26,25,CBDP Diagnostics,"Assay design","Kit production",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Early-stage diagnostics."
CBDP_BA4_002,CBDP_402,Next-Gen Respiratory Protection,DoD,CBDP,Protection Directorate,BA4,CBRNE,CBRNE,Title10;Title50,120000,130000,140000,FY24-FY26,32,CBDP Protection,"PPE design; modeling","Manufacturers",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Protection systems ready for evaluation."
CBDP_BA5_002,CBDP_502,CB Defense Integrated Systems,DoD,CBDP,Systems Directorate,BA5,CBRNE,CBRNE,Title10;Title50,160000,170000,185000,FY24-FY26,38,CBDP Integration,"Systems engineering","Manufacturing primes",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"CB SoS integration."
DHA_BA2_002,DHA_202,Military Infectious Disease Research,DoD,DHA,IDR Directorate,BA2,Biotechnology,Medical,Title10,60000,62000,65000,FY24-FY26,21,DHA Labs,"Disease modeling","Clinical partners",Research,3,2,3,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Bio/medical foundational research."
DHA_BA3_002,DHA_302,Combat Dental & Maxillofacial Prototyping,DoD,DHA,Trauma Directorate,BA3,Medical,Medical,Title10,45000,48000,50000,FY24-FY26,16,DHA Labs,"Clinical prototyping","Medical device vendors",Prototype,3,3,4,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Niche prototype line."
DHA_BA4_002,DHA_402,Medical Logistics Automation,DoD,DHA,MedLog Directorate,BA4,C2_JADC2,Medical,Title10,85000,90000,95000,FY24-FY26,24,DHA MedLog,"System integration","Cloud vendors",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Near-transition med sustainment."
DIU_BA3_002,DIU_302,Commercial Cyber Defense Tools,DoD,DIU,Cyber Portfolio,BA3,Cyber,Cyber,Title10,60000,63000,65000,FY24-FY26,15,DIU PMs,"Prototype evaluation","Vendor engineering",Prototype,4,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DIU cyber prototyping."
DIU_BA3_003,DIU_303,Commercial Robotics & Automation,DoD,DIU,Autonomy Portfolio,BA3,Autonomy_UxS,NA,Title10,55000,58000,60000,FY24-FY26,14,DIU PMs,"Robot prototyping","Integration vendors",Prototype,4,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DIU robotics evaluations."
DIU_BA3_004,DIU_304,DIU Energy Resilience Prototypes,DoD,DIU,Energy Portfolio,BA3,Energy,NA,Title10,48000,50000,52000,FY24-FY26,12,DIU PMs,"Pilot design","OEM vendors",Prototype,3,2,4,3,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Commercial energy systems."
DARPA_BA2_001,0602203E,Quantum Science for Defense,DoD,DARPA,DSO,BA2,Foundational_Science,NA,Title10,130000,140000,150000,FY24-FY26,25,DARPA DSO,"Quantum theory; materials","Academic labs",Research,3,3,2,4,2,Low,4,R1_VERIFIED,"Quantum basic research."
DARPA_BA3_002,0603771E,Advanced AI/ML Prototyping,DoD,DARPA,AIO,BA3,AI_ML,ISR,Title10,200000,220000,240000,FY24-FY26,35,DARPA AIO,"AI design; experimentation","Cloud compute vendors",Prototype,5,4,5,5,3,Medium,5,ESTIMATE_ONLY_R1_PENDING,"AI integration prototype."
DARPA_BA4_001,0604762E,System of Systems Integration (SoSI),DoD,DARPA,STO,BA4,C2_JADC2,ISR,Title10,250000,270000,285000,FY24-FY26,50,DARPA STO,"Systems integration","Primes & integrators",Development,5,4,6,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"DARPA-to-Service SoSI stress case."
TBD_DTRA_ST_CWMD,,Foundational CWMD Science and Technology,DoD,DTRA,Research Directorate,BA2,CBRNE,MultiINT,Title10;Title50,50000,52000,54000,FY24-FY26,25,DTRA S&T,"CBRNE basic research","External academic research",Research,4,2,2,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Template for DTRA basic/applied S&T."
TBD_DTRA_ST_CHEMBIO,,Chemical and Biological Threat Characterization,DoD,DTRA,CBRNE Directorate,BA2,CBRNE,CBRNE,Title10;Title50,45000,47000,49000,FY24-FY26,20,DTRA Chem/Bio Labs,"Agent modeling; assays","High-containment lab support",Research,3,2,3,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Chem/bio threat characterization."
TBD_DTRA_ATD_NUCLEAR,,Nuclear Threat Reduction Technologies,DoD,DTRA,Nuclear Directorate,BA3,Nuclear,CBRNE,Title10;Title50,80000,85000,90000,FY24-FY26,30,DTRA Nuclear Directorate,"Physics modeling; system concepts","Hardware fabrication; specialized sensors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Nuclear threat reduction applied R&D."
TBD_DTRA_DEV_CWMD_SYSTEMS,,CWMD Operational Systems Development,DoD,DTRA,Systems Directorate,BA4,CBRNE,CBRNE,Title10;Title50,110000,120000,130000,FY24-FY26,35,DTRA System Integrators,"Concept of ops; systems integration","System manufacturing",Development,4,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Fieldable CWMD systems template."
TBD_DTRA_ATD_MODEL_SIM,,Modeling and Simulation for CWMD,DoD,DTRA,Modeling & Simulation Directorate,BA3,Analysis_Tools,MultiINT,Title10;Title50,65000,68000,71000,FY24-FY26,15,DTRA M&S Center,"Model development; V&V","HPC hosting",Prototype,4,2,3,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"FX tools and modeling line."
TBD_DTRA_ATD_SENSORS,,CBRNE Detection and Sensing Systems,DoD,DTRA,Sensors Directorate,BA3,Sensors,CBRNE,Title10;Title50,75000,80000,85000,FY24-FY26,20,DTRA Sensor Labs,"Sensor design; algorithm dev","Detector manufacturing",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Detection and sensor prototypes."
TBD_DTRA_BA6_TEST_RANGES,,CWMD Test Beds and Ranges,DoD,DTRA,Test Directorate,BA6,Test_Ranges,CBRNE,Title10;Title50,60000,63000,66000,FY24-FY26,18,DTRA Test Facilities,"Test design; facility ops","Range modernization",Ongoing,3,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CWMD live-agent test infrastructure."
TBD_DTRA_PARTNER_CWMD,,Partner-Nation CWMD RDT&E,DoD,DTRA,International Directorate,BA3,Security_Cooperation,CBRNE,Title10;Title50,55000,58000,60000,FY24-FY26,10,DTRA Intl Programs,"Program management; training","Foreign labs; integration work",Prototype,3,3,3,4,3,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Partner CWMD development line."
TBD_CBDP_BA2_BASIC_SCIENCE,,Basic and Applied Chemical/Biological Defense Science,DoD,CBDP,Science Directorate,BA2,Foundational_Science,CBRNE,Title10;Title50,60000,63000,66000,FY24-FY26,25,CBDP Labs,"CB defense basic research","External performers",Research,4,2,2,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CBDP BA2 science template."
TBD_CBDP_BA2_AGENT_BEHAVIOR,,Threat Agent Behavior and Characterization,DoD,CBDP,Science Directorate,BA2,CBRNE,CBRNE,Title10;Title50,52000,55000,58000,FY24-FY26,18,CBDP Agent Behavior Lab,"Agent modeling; tests","Field trial support",Research,3,2,3,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CBDP agent behavior line."
TBD_CBDP_BA3_DIAGNOSTICS,,CB Defense Diagnostics and Early Warning,DoD,CBDP,Diagnostics Directorate,BA3,Biotechnology,CBRNE,Title10;Title50,82000,86000,90000,FY24-FY26,20,CBDP Diagnostics Lab,"Assay design; sensor support","Commercial kit production",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Diagnostics development template."
TBD_CBDP_BA3_MCM,,Medical Countermeasure Technologies,DoD,CBDP,MCM Directorate,BA3,Biotechnology,CBRNE,Title10;Title50,88000,92000,96000,FY24-FY26,22,CBDP MCM Labs,"Pre-clinical; toxicity studies","Clinical trials",Prototype,4,3,3,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"MCM early-stage work."
TBD_CBDP_BA4_DETECTION_SYSTEMS,,CB Detection Systems Development,DoD,CBDP,Systems Directorate,BA4,Sensors,CBRNE,Title10;Title50,120000,130000,140000,FY24-FY26,28,CBDP Detection Systems,"System integration; field testing","Production & logistics",Development,5,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Detection systems BA4 line."
TBD_CBDP_BA4_PROTECTION_SYSTEMS,,CB Protection Systems Development,DoD,CBDP,Protection Directorate,BA4,CBRNE,CBRNE,Title10;Title50,118000,125000,132000,FY24-FY26,24,CBDP Protection Directorate,"Requirements analysis; system design","Manufacture of PPE",Development,4,3,4,5,3,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Protection systems template."
TBD_CBDP_BA4_INFO_SYSTEMS,,CB Information Systems and Decision Support Tools,DoD,CBDP,Modeling Directorate,BA4,Analysis_Tools,CBRNE,Title10;Title50,90000,95000,100000,FY24-FY26,16,CBDP Modeling Labs,"Tool design; modeling","IT hosting; UI dev",Development,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"CB decision support tools."
TBD_CBDP_BA4_FIELD_MEDICAL,,Field Medical Response Systems,DoD,CBDP,Medical Directorate,BA4,Medical,CBRNE,Title10;Title50,95000,100000,108000,FY24-FY26,20,CBDP Medical Directorate,"Med system design; doctrinal input","Manufacturing; certification",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Field medical systems template."
TBD_CBDP_BA5_ADV_SYSTEMS_DEV,,Advanced CB Defense Systems Development,DoD,CBDP,Systems Integration Directorate,BA5,CBRNE,CBRNE,Title10;Title50,150000,160000,175000,FY24-FY26,30,CBDP Integration Office,"SoS integration; transition planning","Production and fielding support",Development,5,4,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"BA5 advanced system integration."
