adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,AI_ML,0.0,1.0,External,attempt,,,1.0,,,1.12,0.4,1.0,0.4,0.186081,1.0,1.18,6,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DARPA,DIU_BA3_001,28,DIU,CCMD,,7,3
,,,,Title10,,AI_ML,0.0,1.0,External,funding,,,1.0,,,1.0,0.7,1.0,0.32,0.232602,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,0,,,,favorable,,,,Commercial,fail,SAIC,DARPA,DIU_BA3_001,28,DIU,CCMD,prototype_demo,7,3
,,,,MIP,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.06,0.4,1.0,0.23625,0.09456,1.0,1.18,3,1.0,0.8,,MultiINT,NonKinetic,3,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,functional_test,7,4
,,,,Title10,,EW,0.0,0.75,Partner,funding,,,1.0,,,1.08,0.4,1.0,0.196875,0.088316,1.0,1.18,4,1.0,0.88,,SIGINT,NonKinetic,4,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,7,2
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.1,0.4,1.0,0.34,0.155345,1.0,1.18,5,1.0,0.88,,ISR,Kinetic,5,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,7,4
,,,,Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.4,1.0,0.2625,0.022243,1.0,1.18,1,0.2,0.88,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,GovContractor,fail,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,vulnerability_test,8,7
,,,,Title10,,Foundational_Science,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.02,0.4,1.0,0.2625,0.022243,1.0,1.18,1,0.2,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DARPA,ARMY_BA2_001,7,Army,Agency,,8,4
,,,,Title10,,Foundational_Science,,,ProgramBase,legal,,,,,,,,,,,,,,,,,NA,NonKinetic,0,0.2675,0.575,0.05,unfavorable,,1.0,0.1075,Commercial,unfavorable,SAIC,DARPA,ARMY_BA2_001,7,Army,Agency,feasibility,8,4
,,,,Title10,,Sensors,,,ProgramBase,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,0.2675,0.575,0.05,not_conducted,,1.0,0.1075,GovLab,start,NG,AFLCMC,AF_BA4_001,17,Air Force,CCMD,,8,3
,,,,Title10,,Sensors,,,ProgramBase,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.420525,0.34925,0.4015,unfavorable,,1.0,0.180225,GovLab,unfavorable,NG,AFLCMC,AF_BA4_001,17,Air Force,CCMD,functional_test,8,3
,,,,Title10,,C2_JADC2,0.0,0.75,UFR,funding,,,1.0,,,1.04,0.5103,1.0,0.18375,0.101263,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable,,,,GovLab,fail,None,AFLCMC,AF_BA5_001,18,Air Force,Agency,vulnerability_test,8,2
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.14,0.4,1.0,0.36,0.170464,1.0,1.18,7,1.0,0.88,,CBRNE,Kinetic,7,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,8,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.14,0.4,1.0,0.4,0.189404,1.0,1.18,7,1.0,0.88,,CBRNE,Kinetic,7,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,8,4
,,,,Title10,Commercial,AI_ML,,,External,contracting,0.0,,1.0,,1.0,1.02,0.63175,,0.6,0.386631,,,1,1.0,,,NA,NonKinetic,1,,,,favorable,,,,Commercial,fail,SAIC,DARPA,DIU_BA3_001,28,DIU,CCMD,prototype_demo,8,3
,,,,MIP,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.08,0.4,1.0,0.23625,0.096345,1.0,1.18,4,1.0,0.8,,MultiINT,NonKinetic,4,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,functional_test,8,4
,,,,Title10,,EW,0.0,0.75,Partner,funding,,,1.0,,,1.1,0.4,1.0,0.196875,0.089951,1.0,1.18,5,1.0,0.88,,SIGINT,NonKinetic,5,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,8,2
,,,,Title10,,Sensors,0.0,0.75,Partner_CoDev,attempt,,,1.0,,,1.1,0.4,1.0,0.196875,0.089951,1.0,1.18,5,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,AFLCMC,NAVY_BA3_002,35,Navy,POC-User,,8,3
,,,,Title10,,Sensors,,,Partner_CoDev,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.451946,0.304362,0.491275,unfavorable,,1.0,0.193691,GovLab,unfavorable,Leidos,AFLCMC,NAVY_BA3_002,35,Navy,POC-User,prototype_demo,8,3
,,,,Title10,,Air_Dominance,,,ProgramBase,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,0.451946,0.304362,0.491275,not_conducted,,1.0,0.193691,GovLab,start,Boeing,PEO C4I,NAVY_BA4_002,36,Navy,CCMD,,8,4
,,,,Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.49,1.0,0.2625,0.133564,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,Boeing,PEO C4I,NAVY_BA4_002,36,Navy,CCMD,functional_test,8,4
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.12,0.4,1.0,0.34,0.158169,1.0,1.18,6,1.0,0.88,,ISR,Kinetic,6,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,8,4
,,,,Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.2625,0.022679,1.0,1.18,2,0.2,0.88,,ISR,NonKinetic,2,,,,favorable_with_caveats,,,,GovContractor,fail,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,vulnerability_test,9,7
,,,,Title10,,C2_JADC2,0.0,0.75,UFR,funding,,,1.0,,,1.06,0.429887,1.0,0.18375,0.086947,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable,,,,GovLab,fail,None,AFLCMC,AF_BA5_001,18,Air Force,Agency,vulnerability_test,9,2
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner,attempt,,,1.0,,,1.06,0.429887,1.0,0.18375,0.086947,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,GovLab,start,LM,PEO C4I,SOCOM_BA5_001,21,SOCOM,Agency,,9,3
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner,funding,,,1.0,,,1.0,0.42,1.0,0.196875,0.078057,1.0,1.18,0,1.0,0.8,,ISR,NonKinetic,0,,,,favorable,,,,GovLab,fail,LM,PEO C4I,SOCOM_BA5_001,21,SOCOM,Agency,vulnerability_test,9,3
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.16,0.4,1.0,0.36,0.173454,1.0,1.18,8,1.0,0.88,,CBRNE,Kinetic,8,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,9,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.16,0.4,1.0,0.4,0.192727,1.0,1.18,8,1.0,0.88,,CBRNE,Kinetic,8,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,9,4
,,,,Title10,,AI_ML,0.0,1.0,External,funding,,,1.0,,,1.04,0.53865,1.0,0.32,0.186146,1.0,1.18,2,1.0,0.88,,NA,NonKinetic,2,,,,favorable,,,,Commercial,fail,SAIC,DARPA,DIU_BA3_001,28,DIU,CCMD,prototype_demo,9,3
,,,,MIP,,ISR,,,POM,test,0.0,1.0,1.0,0.725,,1.1,0.4655,1.0,0.66,0.245016,1.0,,5,1.0,,1.0,MultiINT,NonKinetic,5,,,,favorable,favorable,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,functional_test,9,4
,,,,Title10,,EW,0.0,0.75,Partner,funding,,,1.0,,,1.12,0.4,1.0,0.196875,0.091587,1.0,1.18,6,1.0,0.88,,SIGINT,NonKinetic,6,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,9,2
,,,,Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.442225,1.0,0.2625,0.122953,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,Boeing,PEO C4I,NAVY_BA4_002,36,Navy,CCMD,functional_test,9,4
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.14,0.4,1.0,0.34,0.160994,1.0,1.18,7,1.0,0.88,,ISR,Kinetic,7,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,9,4
,,,,Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.2625,0.023115,1.0,1.18,3,0.2,0.88,,ISR,NonKinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,vulnerability_test,10,7
,,,,Title10,,C2_JADC2,0.0,0.75,UFR,funding,,,1.0,,,1.08,0.4,1.0,0.18375,0.082428,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable,,,,GovLab,fail,None,AFLCMC,AF_BA5_001,18,Air Force,Agency,vulnerability_test,10,2
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner,funding,,,1.0,,,1.02,0.4,1.0,0.196875,0.075827,1.0,1.18,1,1.0,0.8,,ISR,NonKinetic,1,,,,favorable,,,,GovLab,fail,LM,PEO C4I,SOCOM_BA5_001,21,SOCOM,Agency,vulnerability_test,10,3
