authority,domain,funding_source,gate,intel,kinetic,legal_status,org_type,outcome,researcher_id,stage,tick,trl
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,5,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,5,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,5,2
Title50,EW,ProgramBase,attempt,OSINT,Kinetic,not_conducted,GovLab,start,33,,5,4
Title50,EW,ProgramBase,contracting,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,5,4
Title10,ISR,UFR,contracting,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,5,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,5,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,6,4
Title50,Space,External,attempt,GEOINT,NonKinetic,not_conducted,GovContractor,start,20,,6,3
Title50,Space,External,legal,GEOINT,NonKinetic,unfavorable,GovContractor,unfavorable,20,feasibility,6,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,6,2
Title10,Air,UFR,attempt,HUMINT,Kinetic,not_conducted,GovContractor,start,26,,6,2
Title10,Air,UFR,legal,HUMINT,Kinetic,unfavorable,GovContractor,unfavorable,26,feasibility,6,2
Title10,ISR,POM,contracting,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,6,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,6,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,6,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,6,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,6,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,6,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,7,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,7,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,7,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,7,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,7,2
Title50,EW,ProgramBase,contracting,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,7,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,7,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,7,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,8,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,8,2
Title50,Space,POM,attempt,HUMINT,Kinetic,not_conducted,GovContractor,start,23,,8,4
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,8,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,8,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,8,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,8,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,8,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,8,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,8,3
Title50,Cyber,UFR,attempt,SIGINT,NonKinetic,not_conducted,GovLab,start,2,,9,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,9,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,9,4
Title10,Maritime,Partner_CoDev,attempt,GEOINT,Kinetic,not_conducted,GovContractor,start,11,,9,2
Title10,Maritime,Partner_CoDev,legal,GEOINT,Kinetic,unfavorable,GovContractor,unfavorable,11,feasibility,9,2
Title50,Cyber,ProgramBase,contracting,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,9,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,9,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,9,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,9,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,9,2
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,9,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,9,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,10,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,10,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,10,2
Title50,Space,POM,contracting,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,10,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,10,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,10,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,10,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,10,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,10,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,10,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,11,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,11,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,11,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,11,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,11,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,11,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,11,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,11,4
Title50,EW,Partner,contracting,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,11,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,12,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,12,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,12,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,12,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,12,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,12,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,12,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,12,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,12,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,12,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,13,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,13,4
Title10,ISR,Partner,attempt,SIGINT,Kinetic,not_conducted,GovLab,start,15,,13,4
Title10,ISR,Partner,contracting,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,13,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,13,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,13,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,13,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,13,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,13,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,13,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,13,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,13,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,14,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,14,4
Title10,Air,External,attempt,OSINT,NonKinetic,not_conducted,GovContractor,start,9,,14,4
Title10,Air,External,contracting,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,14,4
Title10,Space,POM,attempt,HUMINT,Kinetic,unfavorable,Commercial,start,13,,14,2
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,14,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,14,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,14,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,14,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,14,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,14,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,14,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,14,4
Title50,ISR,Partner,attempt,OSINT,NonKinetic,not_conducted,Commercial,start,34,,14,3
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,14,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,14,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,14,3
Title50,Cyber,UFR,contracting,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,15,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,15,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,15,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,15,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,15,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,15,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,15,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,15,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,15,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,15,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,15,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,15,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,15,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,16,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,16,4
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,16,4
Title10,Space,POM,contracting,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,16,2
Title10,ISR,Partner,contracting,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,16,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,16,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,16,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,16,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,16,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,16,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,16,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,16,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,16,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,16,3
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,17,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,17,4
Title50,Land,UFR,attempt,SIGINT,NonKinetic,not_conducted,GovLab,start,5,,17,2
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,17,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,17,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,17,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,17,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,17,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,17,4
Title10,Maritime,Partner_CoDev,attempt,SIGINT,NonKinetic,not_conducted,GovContractor,start,27,,17,2
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,17,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,17,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,17,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,17,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,17,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,17,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,17,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,17,3
Title10,Land,Partner_CoDev,attempt,GEOINT,NonKinetic,not_conducted,Commercial,start,1,,18,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,18,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,18,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,18,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,18,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,18,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,18,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,18,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,18,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,18,4
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,18,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,18,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,18,3
Title10,Space,Partner_CoDev,contracting,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,18,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,18,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,18,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,18,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,18,3
Title10,Land,Partner_CoDev,contracting,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,19,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,19,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,19,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,19,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,19,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,19,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,19,4
Title50,Cyber,POM,attempt,GEOINT,NonKinetic,not_conducted,Commercial,start,16,,19,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,19,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,19,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,19,4
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,19,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,19,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,19,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,19,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,19,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,19,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,19,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,19,3
Title50,Cyber,POM,attempt,OSINT,Kinetic,not_conducted,GovLab,start,0,,20,2
Title50,Cyber,POM,legal,OSINT,Kinetic,unfavorable,GovLab,unfavorable,0,feasibility,20,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,20,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,20,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,20,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,20,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,20,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,20,2
Title10,ISR,Partner,contracting,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,20,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,20,4
Title50,Cyber,ProgramBase,contracting,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,20,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,20,4
Title50,Air,Partner,attempt,OSINT,Kinetic,not_conducted,Commercial,start,25,,20,4
Title50,Air,Partner,contracting,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,feasibility,20,4
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,20,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,20,2
Title10,Maritime,External,contracting,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,20,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,20,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,20,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,20,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,20,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,20,3
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,21,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,21,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,21,4
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,21,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,21,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,21,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,21,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,21,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,21,4
Title50,Air,Partner,test,OSINT,Kinetic,favorable_with_caveats,Commercial,pass,25,feasibility,21,5
Title50,Air,Partner,test,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,feasibility,21,5
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,21,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,21,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,21,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,21,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,21,4
