authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.0,0.767125,1.0,0.36,0.28677,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,not_conducted,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,3,2
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.731025,1.0,0.4,0.309711,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,4,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.08,0.4352,1.0,0.23625,0.115305,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,4,2
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.02,0.514781,1.0,0.36,0.196286,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,not_conducted,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,4,2
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.5184,1.0,0.4,0.223936,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,5,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.1,0.4,1.0,0.23625,0.107942,1.0,1.18,5,1.0,0.88,,ISR,Kinetic,5,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,5,2
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.04,0.4,1.0,0.36,0.155511,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,5,2
Title10,,Missile_Defense,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.04,0.4,1.0,0.36,0.155511,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,Boeing,NRL,0603888C,5,MDA,CCMD,,6,4
Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.6375,1.0,0.2625,0.17377,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,0603888C,5,MDA,CCMD,vulnerability_test,6,4
Title10,,EW,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.0,0.6375,1.0,0.2625,0.17377,1.0,1.18,0,1.0,0.88,,SIGINT,NonKinetic,,,,,not_conducted,,,,GovLab,start,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,,6,4
Title10,GovLab,EW,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.0,0.7,,0.6,0.42,,,0,1.0,,,SIGINT,NonKinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,functional_test,6,4
Title10,GovLab,Sensors,,,ProgramBase,attempt,0.0,,1.0,,1.0,1.0,0.7,,0.6,0.42,,,0,1.0,,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,NRL,AF_BA4_001,17,Air Force,Service HQ,,6,3
Title10,,Sensors,,,ProgramBase,legal,,,,,,,,,,,,,,,,,ISR,NonKinetic,0,0.36725,0.4325,0.335,unfavorable,,1.0,0.15025,Commercial,unfavorable,SAIC,NRL,AF_BA4_001,17,Air Force,Service HQ,functional_test,6,3
Title10;Title50,,Sensors,,,UFR,attempt,,,,,,,,,,,,,,,,,CBRNE,Kinetic,,0.36725,0.4325,0.335,not_conducted,,1.0,0.15025,GovContractor,start,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,,6,3
Title10;Title50,,Sensors,0.0,1.0,UFR,funding,,,1.0,,,1.0,0.7,1.0,0.28,0.203526,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,0,,,,favorable,,,,GovContractor,fail,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,prototype_demo,6,3
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.4,0.176113,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,6,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.12,0.4,1.0,0.23625,0.109904,1.0,1.18,6,1.0,0.88,,ISR,Kinetic,6,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,6,2
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.06,0.4,1.0,0.36,0.158501,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,6,2
Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.473812,1.0,0.2625,0.131735,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,0603888C,5,MDA,CCMD,vulnerability_test,7,4
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.442225,1.0,0.2625,0.122953,1.0,1.18,1,1.0,0.88,,SIGINT,NonKinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,functional_test,7,4
Title10;Title50,,Sensors,0.0,1.0,UFR,funding,,,1.0,,,1.02,0.600162,1.0,0.28,0.177988,1.0,1.18,1,1.0,0.88,,CBRNE,Kinetic,1,,,,favorable,,,,GovContractor,fail,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,prototype_demo,7,3
Title10,,Strike,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.02,0.600162,1.0,0.28,0.177988,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,None,DARPA,ARMY_BA4_002,31,Army,POC-User,,7,2
Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.4655,1.0,0.2625,0.126886,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,Commercial,fail,None,DARPA,ARMY_BA4_002,31,Army,POC-User,functional_test,7,2
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.4,0.179436,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,7,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.14,0.4,1.0,0.23625,0.111867,1.0,1.18,7,1.0,0.88,,ISR,Kinetic,7,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,7,2
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.08,0.4,1.0,0.36,0.161492,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,7,2
Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.08,0.4,1.0,0.36,0.161492,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,LM,AFLCMC,OUSD_MOD_001,2,OUSD(R&E),Agency,,8,3
Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.49,1.0,0.4,0.203526,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,LM,AFLCMC,OUSD_MOD_001,2,OUSD(R&E),Agency,prototype_demo,8,3
Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.2625,0.113393,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,0603888C,5,MDA,CCMD,vulnerability_test,8,4
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.2625,0.113393,1.0,1.18,2,1.0,0.88,,SIGINT,NonKinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,functional_test,8,4
Title10;Title50,,Sensors,0.0,1.0,UFR,funding,,,1.0,,,1.04,0.5103,1.0,0.28,0.154306,1.0,1.18,2,1.0,0.88,,CBRNE,Kinetic,2,,,,favorable,,,,GovContractor,fail,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,prototype_demo,8,3
Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.41895,1.0,0.2625,0.116481,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable,,,,Commercial,fail,None,DARPA,ARMY_BA4_002,31,Army,POC-User,functional_test,8,2
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.1,0.4,1.0,0.4,0.182758,1.0,1.18,5,1.0,0.88,,ISR,Kinetic,5,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,8,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.16,0.4,1.0,0.23625,0.113829,1.0,1.18,8,1.0,0.88,,ISR,Kinetic,8,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,8,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.16,0.4,1.0,0.23625,0.113829,1.0,1.18,8,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,GovLab,start,Boeing,DARPA,AF_BA2_002,38,Air Force,POC-User,,8,4
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.4,1.0,0.4,0.166144,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Boeing,DARPA,AF_BA2_002,38,Air Force,POC-User,feasibility,8,4
Title10,GovLab,Sensors,,,POM,contracting,0.0,,1.0,,1.0,1.1,0.4,,0.6,0.264,,,5,1.0,,,ISR,Kinetic,5,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,8,2
Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.442225,1.0,0.4,0.187356,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,LM,AFLCMC,OUSD_MOD_001,2,OUSD(R&E),Agency,prototype_demo,9,3
Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.2625,0.115574,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,0603888C,5,MDA,CCMD,vulnerability_test,9,4
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.2625,0.115574,1.0,1.18,3,1.0,0.88,,SIGINT,NonKinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,functional_test,9,4
Title10;Title50,,Sensors,0.0,1.0,UFR,funding,,,1.0,,,1.06,0.429887,1.0,0.28,0.13249,1.0,1.18,3,1.0,0.88,,CBRNE,Kinetic,3,,,,favorable,,,,GovContractor,fail,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,prototype_demo,9,3
Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.2625,0.113393,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,favorable,,,,Commercial,fail,None,DARPA,ARMY_BA4_002,31,Army,POC-User,functional_test,9,2
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.12,0.4,1.0,0.4,0.186081,1.0,1.18,6,1.0,0.88,,ISR,Kinetic,6,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,9,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.18,0.4,1.0,0.23625,0.115792,1.0,1.18,9,1.0,0.88,,ISR,Kinetic,9,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,9,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.4,1.0,0.4,0.169467,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,Boeing,DARPA,AF_BA2_002,38,Air Force,POC-User,feasibility,9,4
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.12,0.4,1.0,0.36,0.167473,1.0,1.18,6,1.0,0.88,,ISR,Kinetic,6,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,9,2
Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.4,0.17279,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable,,,,GovLab,fail,LM,AFLCMC,OUSD_MOD_001,2,OUSD(R&E),Agency,prototype_demo,10,3
Title10,,Missile_Defense,,,ProgramBase,test,0.0,1.0,1.0,0.775,,1.08,0.576,1.0,0.58,0.279625,1.0,,4,1.0,,1.0,ISR,NonKinetic,4,,,,favorable_with_caveats,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,0603888C,5,MDA,CCMD,vulnerability_test,10,4
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.2625,0.117755,1.0,1.18,4,1.0,0.88,,SIGINT,NonKinetic,4,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,functional_test,10,4
Title10;Title50,,Sensors,0.0,1.0,UFR,funding,,,1.0,,,1.08,0.4,1.0,0.28,0.125605,1.0,1.18,4,1.0,0.88,,CBRNE,Kinetic,4,,,,favorable,,,,GovContractor,fail,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,prototype_demo,10,3
Title10,,AI_ML,0.0,1.0,POM,attempt,,,1.0,,,1.08,0.4,1.0,0.28,0.125605,1.0,1.18,4,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,GovLab,start,LM,DARPA,DIU_BA3_001,28,DIU,CCMD,,10,2
Title10,,AI_ML,,,POM,test,0.0,1.0,1.0,0.725,,1.0,0.95,1.0,0.63,0.433912,1.0,,0,1.0,,1.0,NA,Kinetic,0,,,,favorable,favorable,,,GovLab,pass,LM,DARPA,DIU_BA3_001,28,DIU,CCMD,prototype_demo,10,3
Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.2625,0.115574,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,favorable,,,,Commercial,fail,None,DARPA,ARMY_BA4_002,31,Army,POC-User,functional_test,10,2
Title10,,EW,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.06,0.4,1.0,0.2625,0.115574,1.0,1.18,3,1.0,0.88,,SIGINT,NonKinetic,,,,,not_conducted,,,,GovLab,start,SAIC,NAVWAR,ARMY_BA5_002,32,Army,POC-User,,10,3
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.4,1.0,0.2625,0.109032,1.0,1.18,0,1.0,0.88,,SIGINT,NonKinetic,0,,,,favorable,,,,GovLab,fail,SAIC,NAVWAR,ARMY_BA5_002,32,Army,POC-User,vulnerability_test,10,3
Title10,,Test_Ranges,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.0,0.4,1.0,0.2625,0.109032,1.0,1.18,0,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,Commercial,start,NG,AFLCMC,ARMY_BA6_001,33,Army,Agency,,10,3
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.49,1.0,0.2625,0.133564,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,NG,AFLCMC,ARMY_BA6_001,33,Army,Agency,operational_test,10,3
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.14,0.4,1.0,0.4,0.189404,1.0,1.18,7,1.0,0.88,,ISR,Kinetic,7,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,10,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.2,0.4,1.0,0.23625,0.117755,1.0,1.18,10,1.0,0.88,,ISR,Kinetic,10,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,10,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.4,0.17279,1.0,1.18,2,1.0,0.88,,NA,Kinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,Boeing,DARPA,AF_BA2_002,38,Air Force,POC-User,feasibility,10,4
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.14,0.4,1.0,0.36,0.170464,1.0,1.18,7,1.0,0.88,,ISR,Kinetic,7,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,10,2
Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.4,0.176113,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable,,,,GovLab,fail,LM,AFLCMC,OUSD_MOD_001,2,OUSD(R&E),Agency,prototype_demo,11,3
Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.1,0.4,1.0,0.2625,0.119935,1.0,1.18,5,1.0,0.88,,ISR,NonKinetic,5,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,0603888C,5,MDA,CCMD,vulnerability_test,11,4
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.1,0.4,1.0,0.2625,0.119935,1.0,1.18,5,1.0,0.88,,SIGINT,NonKinetic,5,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,NAVY_BA4_001,13,Navy,CCMD,functional_test,11,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.1,0.4,1.0,0.2625,0.119935,1.0,1.18,5,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,None,DEVCOM,AF_BA5_001,18,Air Force,Agency,,11,3
Title10,,C2_JADC2,,,ProgramBase,legal,,,,,,,,,,,,,,,,,ISR,NonKinetic,0,0.317375,0.50375,0.1925,unfavorable,,1.0,0.128875,GovContractor,unfavorable,None,DEVCOM,AF_BA5_001,18,Air Force,Agency,vulnerability_test,11,3
MFP11,,C2_JADC2,,,Partner,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,0.317375,0.50375,0.1925,not_conducted,,1.0,0.128875,GovLab,start,Leidos,NRL,SOCOM_BA5_001,21,SOCOM,POC-User,,11,3
MFP11,,C2_JADC2,0.0,0.75,Partner,funding,,,1.0,,,1.0,0.665,1.0,0.196875,0.12359,1.0,1.18,0,1.0,0.8,,ISR,NonKinetic,0,,,,favorable,,,,GovLab,fail,Leidos,NRL,SOCOM_BA5_001,21,SOCOM,POC-User,vulnerability_test,11,3
Title10;Title50,,Sensors,0.0,1.0,UFR,funding,,,1.0,,,1.1,0.4,1.0,0.28,0.127931,1.0,1.18,5,1.0,0.88,,CBRNE,Kinetic,5,,,,favorable,,,,GovContractor,fail,None,DEVCOM,DTRA_BA3_001,23,DTRA,POC-User,prototype_demo,11,3
Title10,,AI_ML,0.0,0.75,POM,funding,,,1.0,,,1.02,0.49,1.0,0.23625,0.122612,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable,,,,GovLab,fail,LM,DARPA,DIU_BA3_001,28,DIU,CCMD,functional_test,11,3
Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.2625,0.117755,1.0,1.18,4,1.0,0.88,,ISR,NonKinetic,4,,,,favorable,,,,Commercial,fail,None,DARPA,ARMY_BA4_002,31,Army,POC-User,functional_test,11,2
Title10,,EW,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.4,1.0,0.2625,0.111213,1.0,1.18,1,1.0,0.88,,SIGINT,NonKinetic,1,,,,favorable,,,,GovLab,fail,SAIC,NAVWAR,ARMY_BA5_002,32,Army,POC-User,vulnerability_test,11,3
Title10,,Test_Ranges,,,ProgramBase,test,0.0,1.0,1.0,0.8,,1.02,0.857375,1.0,0.45,0.314828,1.0,,1,1.0,,1.0,NA,Kinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,,Commercial,fail,NG,AFLCMC,ARMY_BA6_001,33,Army,Agency,operational_test,11,3
Title10,,Sensors,,,ProgramBase,test,0.0,1.0,1.0,0.725,,1.16,0.41895,1.0,0.63,0.221972,1.0,,8,1.0,,1.0,ISR,Kinetic,8,,,,favorable,favorable,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,11,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.22,0.4,1.0,0.23625,0.119717,1.0,1.18,11,1.0,0.88,,ISR,Kinetic,11,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,11,2
Title10,,C2_JADC2,0.0,0.75,POM,attempt,,,1.0,,,1.22,0.4,1.0,0.23625,0.119717,1.0,1.18,11,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,NG,AFLCMC,NAVY_BA5_001,37,Navy,Agency,,11,2
Title10,,C2_JADC2,0.0,0.75,POM,funding,,,1.0,,,1.0,0.441,1.0,0.23625,0.108187,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,NG,AFLCMC,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,11,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.4,0.176113,1.0,1.18,3,1.0,0.88,,NA,Kinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,Boeing,DARPA,AF_BA2_002,38,Air Force,POC-User,feasibility,11,4
Title10,,Sensors,0.0,1.0,POM,funding,,,1.0,,,1.16,0.4,1.0,0.36,0.173454,1.0,1.18,8,1.0,0.88,,ISR,Kinetic,8,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,prototype_demo,11,2
Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.4,0.179436,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable,,,,GovLab,fail,LM,AFLCMC,OUSD_MOD_001,2,OUSD(R&E),Agency,prototype_demo,12,3
