authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.0,0.81225,1.0,0.34,0.28677,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,1,3
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.65025,1.0,0.2625,0.184335,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,2,2
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.02,0.857375,1.0,0.32,0.264176,1.0,1.18,1,1.0,0.8,,MultiINT,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,2,2
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.02,0.6156,1.0,0.34,0.221688,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,2,3
Title10,,Microelectronics,0.0,1.0,External,attempt,,,1.0,,,1.02,0.6156,1.0,0.34,0.221688,1.0,1.18,1,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,GovLab,start,LM,DARPA,0602702E,0,DARPA,POC-User,,3,4
Title10,,Microelectronics,0.0,1.0,External,funding,,,1.0,,,1.0,0.855,1.0,0.32,0.284106,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable,,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,3,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4845,1.0,0.2625,0.139989,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,3,2
MFP11,,ISR,0.0,0.75,POM,attempt,,,1.0,,,1.06,0.4845,1.0,0.2625,0.139989,1.0,1.18,3,1.0,0.88,,MultiINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,,3,4
MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.0,0.9,1.0,0.23625,0.200718,1.0,1.18,0,1.0,0.8,,MultiINT,NonKinetic,0,,,,favorable,,,,GovContractor,fail,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,functional_test,3,4
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.04,0.585225,1.0,0.32,0.183856,1.0,1.18,2,1.0,0.8,,MultiINT,Kinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,3,2
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.04,0.455175,1.0,0.34,0.16713,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,3,3
Title10,,Microelectronics,0.0,1.0,External,funding,,,1.0,,,1.02,0.6137,1.0,0.32,0.208004,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable,,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,4,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.2625,0.117755,1.0,1.18,4,1.0,0.88,,ISR,NonKinetic,4,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,4,2
MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.02,0.6859,1.0,0.23625,0.156029,1.0,1.18,1,1.0,0.8,,MultiINT,NonKinetic,1,,,,favorable,,,,GovContractor,fail,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,functional_test,4,4
Title10;Title50,,Biotechnology,0.0,0.75,POM,attempt,,,1.0,,,1.02,0.6859,1.0,0.23625,0.156029,1.0,1.18,1,1.0,0.8,,CBRNE,Kinetic,,,,,not_conducted,,,,GovContractor,start,None,DARPA,CBDP_BA3_001,24,CBDP,Agency,,4,4
Title10;Title50,GovContractor,Biotechnology,,,POM,contracting,0.0,,1.0,,1.0,1.0,0.9,,0.65,0.585,,,0,1.0,,,CBRNE,Kinetic,0,,,,favorable,,,,GovContractor,fail,None,DARPA,CBDP_BA3_001,24,CBDP,Agency,prototype_demo,4,4
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.06,0.4,1.0,0.32,0.128082,1.0,1.18,3,1.0,0.8,,MultiINT,Kinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,4,2
Title10,,Test_Ranges,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.06,0.4,1.0,0.32,0.128082,1.0,1.18,3,1.0,0.8,,NA,Kinetic,,,,,not_conducted,,,,GovLab,start,None,DARPA,ARMY_BA6_001,33,Army,CCMD,,4,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.595,1.0,0.2625,0.162185,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable,,,,GovLab,fail,None,DARPA,ARMY_BA6_001,33,Army,CCMD,operational_test,4,2
Title10,,Air_Dominance,0.0,0.75,Partner,attempt,,,1.0,,,1.0,0.595,1.0,0.2625,0.162185,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,None,AFLCMC,AF_BA2_002,38,Air Force,Agency,,4,2
Title10,,Air_Dominance,,,Partner,legal,,,,,,,,,,,,,,,,,NA,NonKinetic,0,0.30075,0.5275,0.145,unfavorable,,1.0,0.12175,Commercial,unfavorable,None,AFLCMC,AF_BA2_002,38,Air Force,Agency,feasibility,4,2
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.06,0.4,1.0,0.34,0.149696,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,4,3
Title10,,Microelectronics,0.0,1.0,External,funding,,,1.0,,,1.04,0.42525,1.0,0.32,0.146958,1.0,1.18,2,1.0,0.88,,NA,Kinetic,2,,,,favorable,,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,5,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.1,0.4,1.0,0.2625,0.119935,1.0,1.18,5,1.0,0.88,,ISR,NonKinetic,5,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,5,2
MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.04,0.48195,1.0,0.23625,0.111784,1.0,1.18,2,1.0,0.8,,MultiINT,NonKinetic,2,,,,favorable,,,,GovContractor,fail,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,functional_test,5,4
Title10;Title50,,Biotechnology,0.0,1.0,POM,funding,,,1.0,,,1.02,0.6137,1.0,0.36,0.234004,1.0,1.18,1,1.0,0.88,,CBRNE,Kinetic,1,,,,favorable,,,,GovContractor,fail,None,DARPA,CBDP_BA3_001,24,CBDP,Agency,prototype_demo,5,4
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.08,0.4,1.0,0.32,0.130499,1.0,1.18,4,1.0,0.8,,MultiINT,Kinetic,4,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,5,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.473812,1.0,0.2625,0.131735,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable,,,,GovLab,fail,None,DARPA,ARMY_BA6_001,33,Army,CCMD,operational_test,5,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.02,0.473812,1.0,0.2625,0.131735,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,,5,4
Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.49875,1.0,0.2625,0.135949,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,5,4
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.08,0.4,1.0,0.34,0.15252,1.0,1.18,4,1.0,0.88,,ISR,NonKinetic,4,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,5,3
Title10,,Microelectronics,0.0,1.0,External,funding,,,1.0,,,1.06,0.4,1.0,0.32,0.14089,1.0,1.18,3,1.0,0.88,,NA,Kinetic,3,,,,favorable,,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,6,4
Title10,,Land_Warfare,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.06,0.4,1.0,0.32,0.14089,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,NAVWAR,ARMY_BA3_001,8,Army,Agency,,6,4
Title10,,Land_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.49,1.0,0.4,0.203526,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,ARMY_BA3_001,8,Army,Agency,prototype_demo,6,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.12,0.4,1.0,0.2625,0.122116,1.0,1.18,6,1.0,0.88,,ISR,NonKinetic,6,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,6,2
Title10,,Maritime_Warfare,0.0,0.75,External,attempt,,,1.0,,,1.12,0.4,1.0,0.2625,0.122116,1.0,1.18,6,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,Commercial,start,NG,NAVWAR,NAVY_BA2_001,11,Navy,POC-User,,6,2
Title10,,Maritime_Warfare,,,External,test,0.0,1.0,1.0,0.675,,1.0,0.95,1.0,0.65,0.416812,1.0,,0,1.0,,1.0,NA,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,Commercial,fail,NG,NAVWAR,NAVY_BA2_001,11,Navy,POC-User,feasibility,6,2
Title10,,Autonomy_UxS,,,External,attempt,0.0,1.0,1.0,0.675,,1.0,0.95,1.0,0.65,0.416812,1.0,,0,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable_with_caveats,,,Commercial,start,None,NAVWAR,AF_BA3_001,16,Air Force,POC-User,,6,2
Title10,,Autonomy_UxS,0.0,1.0,External,funding,,,1.0,,,1.0,0.49,1.0,0.32,0.162821,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,None,NAVWAR,AF_BA3_001,16,Air Force,POC-User,prototype_demo,6,2
MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.06,0.4,1.0,0.23625,0.09456,1.0,1.18,3,1.0,0.8,,MultiINT,NonKinetic,3,,,,favorable,,,,GovContractor,fail,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,functional_test,6,4
Title10;Title50,,Biotechnology,0.0,1.0,POM,funding,,,1.0,,,1.04,0.42525,1.0,0.36,0.165327,1.0,1.18,2,1.0,0.88,,CBRNE,Kinetic,2,,,,favorable,,,,GovContractor,fail,None,DARPA,CBDP_BA3_001,24,CBDP,Agency,prototype_demo,6,4
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.1,0.4,1.0,0.32,0.132915,1.0,1.18,5,1.0,0.8,,MultiINT,Kinetic,5,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,6,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.2625,0.113393,1.0,1.18,2,1.0,0.88,,NA,Kinetic,2,,,,favorable,,,,GovLab,fail,None,DARPA,ARMY_BA6_001,33,Army,CCMD,operational_test,6,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.41895,1.0,0.2625,0.116481,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,6,4
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.1,0.4,1.0,0.34,0.155345,1.0,1.18,5,1.0,0.88,,ISR,NonKinetic,5,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,6,3
Title10,,Microelectronics,,,External,test,0.0,1.0,1.0,0.7,,1.08,0.576,1.0,0.71,0.309174,1.0,,4,1.0,,1.0,NA,Kinetic,4,,,,favorable,favorable,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,7,4
Title10,,Foundational_Science,,,ProgramBase,attempt,0.0,1.0,1.0,0.7,,1.08,0.576,1.0,0.71,0.309174,1.0,,4,1.0,,1.0,NA,NonKinetic,,,,,not_conducted,favorable,,,Commercial,start,Boeing,NAVWAR,ARMY_BA2_001,7,Army,Service HQ,,7,3
Title10,,Foundational_Science,,,ProgramBase,legal,,,,,,,,,,,,,,,,,NA,NonKinetic,0,0.33225,0.4825,0.235,unfavorable,,1.0,0.13525,Commercial,unfavorable,Boeing,NAVWAR,ARMY_BA2_001,7,Army,Service HQ,feasibility,7,3
Title10,,Land_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.442225,1.0,0.4,0.187356,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,ARMY_BA3_001,8,Army,Agency,prototype_demo,7,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.14,0.4,1.0,0.2625,0.124296,1.0,1.18,7,1.0,0.88,,ISR,NonKinetic,7,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,7,2
Title10,,Maritime_Warfare,0.0,1.0,External,funding,,,1.0,,,1.02,0.442225,1.0,0.32,0.149885,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,NG,NAVWAR,NAVY_BA2_001,11,Navy,POC-User,feasibility,7,2
Title10,,Autonomy_UxS,0.0,1.0,External,funding,,,1.0,,,1.02,0.442225,1.0,0.32,0.149885,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,None,NAVWAR,AF_BA3_001,16,Air Force,POC-User,prototype_demo,7,2
MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.08,0.4,1.0,0.23625,0.096345,1.0,1.18,4,1.0,0.8,,MultiINT,NonKinetic,4,,,,favorable,,,,GovContractor,fail,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,functional_test,7,4
Title10;Title50,GovContractor,Biotechnology,,,POM,contracting,0.0,,1.0,,1.0,1.06,0.50575,,0.65,0.348462,,,3,1.0,,,CBRNE,Kinetic,3,,,,favorable,,,,GovContractor,fail,None,DARPA,CBDP_BA3_001,24,CBDP,Agency,prototype_demo,7,4
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.12,0.4,1.0,0.32,0.135332,1.0,1.18,6,1.0,0.8,,MultiINT,Kinetic,6,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,7,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.2625,0.115574,1.0,1.18,3,1.0,0.88,,NA,Kinetic,3,,,,favorable,,,,GovLab,fail,None,DARPA,ARMY_BA6_001,33,Army,CCMD,operational_test,7,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.2625,0.113393,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,7,4
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.12,0.4,1.0,0.34,0.158169,1.0,1.18,6,1.0,0.88,,ISR,NonKinetic,6,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,7,3
Title10,GovLab,Microelectronics,,,External,contracting,0.0,,1.0,,1.0,1.1,0.4,,0.6,0.264,,,5,1.0,,,NA,Kinetic,5,,,,favorable,,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,8,4
Title10,GovLab,Sensors,,,Partner_CoDev,attempt,0.0,,1.0,,1.0,1.1,0.4,,0.6,0.264,,,5,1.0,,,ISR,NonKinetic,,,,,not_conducted,,,,GovLab,start,LM,DEVCOM,MDA_HYP_001,6,MDA,Agency,,8,4
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.0,0.4,1.0,0.34,0.141222,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,GovLab,fail,LM,DEVCOM,MDA_HYP_001,6,MDA,Agency,prototype_demo,8,4
Title10,,Land_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.4,0.17279,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,ARMY_BA3_001,8,Army,Agency,prototype_demo,8,4
Title10,,C2_JADC2,0.0,0.75,ProgramBase,funding,,,1.0,,,1.16,0.4,1.0,0.2625,0.126477,1.0,1.18,8,1.0,0.88,,ISR,NonKinetic,8,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,8,2
Title10,,Maritime_Warfare,0.0,1.0,External,funding,,,1.0,,,1.04,0.4,1.0,0.32,0.138232,1.0,1.18,2,1.0,0.88,,NA,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,NG,NAVWAR,NAVY_BA2_001,11,Navy,POC-User,feasibility,8,2
Title10,,Autonomy_UxS,0.0,1.0,External,funding,,,1.0,,,1.04,0.4,1.0,0.32,0.138232,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,None,NAVWAR,AF_BA3_001,16,Air Force,POC-User,prototype_demo,8,2
MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.1,0.4,1.0,0.23625,0.098129,1.0,1.18,5,1.0,0.8,,MultiINT,NonKinetic,5,,,,favorable,,,,GovContractor,fail,LM,PEO C4I,SOCOM_BA4_001,20,SOCOM,Service HQ,functional_test,8,4
Title10;Title50,,CBRNE,0.0,0.75,POM,attempt,,,1.0,,,1.1,0.4,1.0,0.23625,0.098129,1.0,1.18,5,1.0,0.8,,CBRNE,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,AFLCMC,DTRA_BA2_001,22,DTRA,POC-User,,8,3
Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.0,0.49,1.0,0.36,0.183174,1.0,1.18,0,1.0,0.88,,CBRNE,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,AFLCMC,DTRA_BA2_001,22,DTRA,POC-User,feasibility,8,3
Title10;Title50,GovContractor,Biotechnology,,,POM,contracting,0.0,,1.0,,1.0,1.08,0.448,,0.65,0.314496,,,4,1.0,,,CBRNE,Kinetic,4,,,,favorable,,,,GovContractor,fail,None,DARPA,CBDP_BA3_001,24,CBDP,Agency,prototype_demo,8,4
MIP,,ISR,0.0,1.0,External,funding,,,1.0,,,1.14,0.4,1.0,0.32,0.137748,1.0,1.18,7,1.0,0.8,,MultiINT,Kinetic,7,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,8,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.2625,0.117755,1.0,1.18,4,1.0,0.88,,NA,Kinetic,4,,,,favorable,,,,GovLab,fail,None,DARPA,ARMY_BA6_001,33,Army,CCMD,operational_test,8,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.2625,0.115574,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,8,4
Title10,Commercial,Sensors,,,Partner_CoDev,contracting,0.0,,1.0,,1.0,1.14,0.4,,0.6,0.2736,,,7,1.0,,,ISR,NonKinetic,7,,,,unfavorable,,,,Commercial,fail,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,8,3
Title10,,Microelectronics,0.0,1.0,External,funding,,,1.0,,,1.12,0.4,1.0,0.32,0.148865,1.0,1.18,6,1.0,0.88,,NA,Kinetic,6,,,,favorable,,,,GovLab,fail,LM,DARPA,0602702E,0,DARPA,POC-User,feasibility,9,4
Title10,,Foundational_Science,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.12,0.4,1.0,0.32,0.148865,1.0,1.18,6,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,GovLab,start,None,PEO C4I,OUSD_SCI_001,3,OUSD(R&E),CCMD,,9,3
Title10,,Foundational_Science,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.4655,1.0,0.4,0.19335,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,None,PEO C4I,OUSD_SCI_001,3,OUSD(R&E),CCMD,feasibility,9,3
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.02,0.4,1.0,0.34,0.144047,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable,,,,GovLab,fail,LM,DEVCOM,MDA_HYP_001,6,MDA,Agency,prototype_demo,9,4
Title10,,Land_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.4,0.176113,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,ARMY_BA3_001,8,Army,Agency,prototype_demo,9,4
Title10,,Air_Dominance,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.06,0.4,1.0,0.4,0.176113,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,Boeing,PEO C4I,ARMY_BA4_001,9,Army,Service HQ,,9,4
Title10,,Air_Dominance,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.4,1.0,0.2625,0.109032,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,PEO C4I,ARMY_BA4_001,9,Army,Service HQ,functional_test,9,4
