authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,ISR,1.0,Partner,funding,,,0.3969,1.0,0.3,0.1024,1.0,1.0,0.86,OSINT,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,6,2
Title50,,Cyber,1.0,POM,funding,,,0.429887,1.0,0.36,0.126903,1.0,1.0,0.82,SIGINT,Kinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,6,3
Title10,GovLab,Land,,ProgramBase,contracting,,,0.4165,,0.6,0.2499,,1.0,,GEOINT,Kinetic,3,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,6,2
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,4,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,6,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.600162,1.0,0.223125,0.112485,1.0,1.0,0.84,HUMINT,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,6,3
Title10,,ISR,1.0,Partner,funding,,,0.354025,1.0,0.3,0.091338,1.0,1.0,0.86,OSINT,Kinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,7,2
Title50,,Cyber,1.0,POM,funding,,,0.3584,1.0,0.36,0.1058,1.0,1.0,0.82,SIGINT,Kinetic,4,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,7,3
Title10,,Land,1.0,ProgramBase,funding,,,0.392,1.0,0.4,0.131712,1.0,1.0,0.84,GEOINT,Kinetic,4,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,7,2
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,5,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,7,3
Title50,Commercial,Maritime,,Partner_CoDev,contracting,,,0.567,,0.6,0.3402,,1.0,,HUMINT,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,7,3
Title10,,ISR,1.0,Partner,funding,,,0.3136,1.0,0.3,0.080909,1.0,1.0,0.86,OSINT,Kinetic,4,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,8,2
Title50,,Cyber,1.0,POM,funding,,,0.295312,1.0,0.36,0.087176,1.0,1.0,0.82,SIGINT,Kinetic,5,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,8,3
Title10,,Land,1.0,ProgramBase,funding,,,0.349125,1.0,0.4,0.117306,1.0,1.0,0.84,GEOINT,Kinetic,5,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,8,2
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,6,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,8,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.455175,1.0,0.223125,0.085311,1.0,1.0,0.84,HUMINT,Kinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,8,3
Title10,,ISR,1.0,Partner,funding,,,0.275625,1.0,0.3,0.071111,1.0,1.0,0.86,OSINT,Kinetic,5,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,9,2
Title10,,Cyber,1.0,Partner,attempt,,,0.275625,1.0,0.3,0.071111,1.0,1.0,0.86,GEOINT,Kinetic,,,,,not_conducted,,,,Commercial,start,Leidos,NRL,NAVY-BA7-TBD_BA7_NAVY_AEGIS,6,Navy,Agency,,9,4
Title10,,Cyber,0.75,Partner,funding,,,0.392,1.0,0.196875,0.064827,1.0,1.0,0.84,GEOINT,Kinetic,0,,,,favorable,,,,Commercial,fail,Leidos,NRL,NAVY-BA7-TBD_BA7_NAVY_AEGIS,6,Navy,Agency,operational_test,9,4
Title50,GovLab,Cyber,,POM,contracting,,,0.343,,0.6,0.2058,,1.0,,SIGINT,Kinetic,6,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,9,3
Title10,,Land,1.0,ProgramBase,funding,,,0.3087,1.0,0.4,0.103723,1.0,1.0,0.84,GEOINT,Kinetic,6,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,9,2
Title50,,Cyber,1.0,POM,attempt,,,0.3087,1.0,0.4,0.103723,1.0,1.0,0.84,MASINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,20,Navy,POC-User,,9,2
Title50,,Cyber,0.75,POM,funding,,,0.525,1.0,0.23625,0.104186,1.0,1.0,0.84,MASINT,NonKinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,20,Navy,POC-User,operational_test,9,2
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,7,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,9,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.3332,1.0,0.223125,0.06245,1.0,1.0,0.84,HUMINT,Kinetic,4,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,9,3
Title50,,Land,0.75,Partner,attempt,,,0.3332,1.0,0.223125,0.06245,1.0,1.0,0.84,HUMINT,Kinetic,,,,,not_conducted,,,,GovContractor,start,NG,DARPA,OSDRE-BA3-TRUSTED-AI,39,OSD,POC-User,,9,4
Title50,,Land,1.0,Partner,funding,,,0.665,1.0,0.3,0.16758,1.0,1.0,0.84,HUMINT,Kinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,OSDRE-BA3-TRUSTED-AI,39,OSD,POC-User,prototype_demo,9,4
Title10,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.061946,1.0,1.0,0.86,OSINT,Kinetic,6,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,10,2
Title10,,Cyber,0.75,Partner,funding,,,0.32585,1.0,0.196875,0.053887,1.0,1.0,0.84,GEOINT,Kinetic,1,,,,favorable,,,,Commercial,fail,Leidos,NRL,NAVY-BA7-TBD_BA7_NAVY_AEGIS,6,Navy,Agency,operational_test,10,4
Title50,,Land,0.75,ProgramBase,attempt,,,0.32585,1.0,0.196875,0.053887,1.0,1.0,0.84,OSINT,NonKinetic,,,,,not_conducted,,,,Commercial,start,Leidos,AFLCMC,DTRA-BA3-CWMD-TECH,12,Defense Agency,Service HQ,,10,2
Title50,,Land,,ProgramBase,legal,,,,,,,,,,OSINT,NonKinetic,0,0.355,0.45,0.1,unfavorable,,1.0,0.145,Commercial,unfavorable,Leidos,AFLCMC,DTRA-BA3-CWMD-TECH,12,Defense Agency,Service HQ,prototype_demo,10,2
Title50,,Cyber,1.0,POM,funding,,,0.2401,1.0,0.36,0.070878,1.0,1.0,0.82,SIGINT,Kinetic,7,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,10,3
Title10,,Land,1.0,ProgramBase,funding,,,0.29155,1.0,0.4,0.097961,1.0,1.0,0.84,GEOINT,Kinetic,7,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,10,2
Title50,,Space,1.0,External,attempt,,,0.29155,1.0,0.4,0.097961,1.0,1.0,0.84,SIGINT,Kinetic,,,,,not_conducted,,,,GovContractor,start,None,PEO C4I,NAVY-BA6-HQ-MGMT,19,Navy,Agency,,10,3
Title50,,Space,1.0,External,funding,,,0.9,1.0,0.32,0.22464,1.0,1.0,0.78,SIGINT,Kinetic,0,,,,favorable,,,,GovContractor,fail,None,PEO C4I,NAVY-BA6-HQ-MGMT,19,Navy,Agency,feasibility,10,3
Title50,,Cyber,0.75,POM,funding,,,0.395675,1.0,0.23625,0.078522,1.0,1.0,0.84,MASINT,NonKinetic,1,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,20,Navy,POC-User,operational_test,10,2
Title50,,Air,0.75,Partner,attempt,,,0.395675,1.0,0.23625,0.078522,1.0,1.0,0.84,OSINT,Kinetic,,,,,not_conducted,,,,Commercial,start,Boeing,NAVWAR,ARMY-BA2-0602105A,28,Army,Service HQ,,10,3
Title50,,Air,1.0,Partner,funding,,,0.343,1.0,0.3,0.084378,1.0,1.0,0.82,OSINT,Kinetic,0,,,,favorable,,,,Commercial,fail,Boeing,NAVWAR,ARMY-BA2-0602105A,28,Army,Service HQ,feasibility,10,3
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,8,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,10,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.294,1.0,0.223125,0.055103,1.0,1.0,0.84,HUMINT,Kinetic,5,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,10,3
Title10,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.061946,1.0,1.0,0.86,OSINT,Kinetic,7,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,11,2
Title10,,Cyber,0.75,Partner,funding,,,0.3087,1.0,0.196875,0.051051,1.0,1.0,0.84,GEOINT,Kinetic,2,,,,favorable,,,,Commercial,fail,Leidos,NRL,NAVY-BA7-TBD_BA7_NAVY_AEGIS,6,Navy,Agency,operational_test,11,4
Title50,,Maritime,0.75,ProgramBase,attempt,,,0.3087,1.0,0.196875,0.051051,1.0,1.0,0.84,HUMINT,Kinetic,,,,,not_conducted,,,,GovLab,start,Boeing,NRL,USAF-BA2-0602202F,7,Air Force,Service HQ,,11,2
Title50,,Maritime,,ProgramBase,legal,,,,,,,,,,HUMINT,Kinetic,0,0.399919,0.378687,0.142625,unfavorable,,1.0,0.171394,GovLab,unfavorable,Boeing,NRL,USAF-BA2-0602202F,7,Air Force,Service HQ,feasibility,11,2
Title50,GovLab,Cyber,,POM,contracting,,,0.343,,0.6,0.2058,,1.0,,SIGINT,Kinetic,8,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,11,3
Title10,,Land,1.0,ProgramBase,funding,,,0.2744,1.0,0.4,0.092198,1.0,1.0,0.84,GEOINT,Kinetic,8,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,11,2
Title50,,Space,1.0,External,funding,,,0.6859,1.0,0.32,0.171201,1.0,1.0,0.78,SIGINT,Kinetic,1,,,,favorable,,,,GovContractor,fail,None,PEO C4I,NAVY-BA6-HQ-MGMT,19,Navy,Agency,feasibility,11,3
Title50,,Cyber,0.75,POM,funding,,,0.33075,1.0,0.23625,0.065637,1.0,1.0,0.84,MASINT,NonKinetic,2,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,20,Navy,POC-User,operational_test,11,2
Title50,,Air,1.0,Partner,funding,,,0.32585,1.0,0.3,0.080159,1.0,1.0,0.82,OSINT,Kinetic,1,,,,favorable,,,,Commercial,fail,Boeing,NAVWAR,ARMY-BA2-0602105A,28,Army,Service HQ,feasibility,11,3
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,9,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,11,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.25725,1.0,0.223125,0.048215,1.0,1.0,0.84,HUMINT,Kinetic,6,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,11,3
Title50,,Land,1.0,Partner,funding,,,0.442225,1.0,0.3,0.111441,1.0,1.0,0.84,HUMINT,Kinetic,2,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,OSDRE-BA3-TRUSTED-AI,39,OSD,POC-User,prototype_demo,11,4
Title10,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.061946,1.0,1.0,0.86,OSINT,Kinetic,8,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,12,2
Title10,,Cyber,0.75,Partner,funding,,,0.29155,1.0,0.196875,0.048215,1.0,1.0,0.84,GEOINT,Kinetic,3,,,,favorable,,,,Commercial,fail,Leidos,NRL,NAVY-BA7-TBD_BA7_NAVY_AEGIS,6,Navy,Agency,operational_test,12,4
Title50,,Cyber,1.0,POM,funding,,,0.2401,1.0,0.36,0.070878,1.0,1.0,0.82,SIGINT,Kinetic,9,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,12,3
Title50,,Space,1.0,External,attempt,,,0.2401,1.0,0.36,0.070878,1.0,1.0,0.82,GEOINT,Kinetic,,,,,not_conducted,,,,Commercial,start,None,AFLCMC,NAVY-BA2-0602270N,16,Navy,Agency,,12,4
Title50,Commercial,Space,,External,contracting,,,0.665,,0.6,0.399,,1.0,,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,NAVY-BA2-0602270N,16,Navy,Agency,feasibility,12,4
Title10,,Land,1.0,ProgramBase,funding,,,0.25725,1.0,0.4,0.086436,1.0,1.0,0.84,GEOINT,Kinetic,9,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,12,2
Title50,,Space,1.0,External,funding,,,0.5103,1.0,0.32,0.127371,1.0,1.0,0.78,SIGINT,Kinetic,2,,,,favorable,,,,GovContractor,fail,None,PEO C4I,NAVY-BA6-HQ-MGMT,19,Navy,Agency,feasibility,12,3
Title50,,Cyber,0.75,POM,funding,,,0.29155,1.0,0.23625,0.057858,1.0,1.0,0.84,MASINT,NonKinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,20,Navy,POC-User,operational_test,12,2
Title50,,Air,1.0,Partner,funding,,,0.3087,1.0,0.3,0.07594,1.0,1.0,0.82,OSINT,Kinetic,2,,,,favorable,,,,Commercial,fail,Boeing,NAVWAR,ARMY-BA2-0602105A,28,Army,Service HQ,feasibility,12,3
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,10,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,12,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.2401,1.0,0.223125,0.045001,1.0,1.0,0.84,HUMINT,Kinetic,7,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,12,3
Title50,,Land,1.0,Partner,funding,,,0.3969,1.0,0.3,0.100019,1.0,1.0,0.84,HUMINT,Kinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,OSDRE-BA3-TRUSTED-AI,39,OSD,POC-User,prototype_demo,12,4
Title10,,ISR,1.0,Partner,funding,,,0.2401,1.0,0.3,0.061946,1.0,1.0,0.86,OSINT,Kinetic,9,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,13,2
Title50,,Land,1.0,UFR,attempt,,,0.2401,1.0,0.3,0.061946,1.0,1.0,0.86,GEOINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Leidos,NAVWAR,NAVY-BA6-HQ-MGMT,5,Navy,CCMD,,13,2
Title50,,Land,1.0,UFR,funding,,,0.595,1.0,0.28,0.129948,1.0,1.0,0.78,GEOINT,NonKinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,Leidos,NAVWAR,NAVY-BA6-HQ-MGMT,5,Navy,CCMD,feasibility,13,2
Title10,,Cyber,0.75,Partner,funding,,,0.2744,1.0,0.196875,0.045379,1.0,1.0,0.84,GEOINT,Kinetic,4,,,,favorable,,,,Commercial,fail,Leidos,NRL,NAVY-BA7-TBD_BA7_NAVY_AEGIS,6,Navy,Agency,operational_test,13,4
Title50,,Cyber,1.0,POM,funding,,,0.2401,1.0,0.36,0.070878,1.0,1.0,0.82,SIGINT,Kinetic,10,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,13,3
Title50,,Space,1.0,External,funding,,,0.508725,1.0,0.32,0.135117,1.0,1.0,0.83,GEOINT,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,NAVY-BA2-0602270N,16,Navy,Agency,feasibility,13,4
Title10,,Land,1.0,ProgramBase,funding,,,0.2401,1.0,0.4,0.080674,1.0,1.0,0.84,GEOINT,Kinetic,10,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,13,2
Title50,,Space,1.0,External,funding,,,0.3808,1.0,0.32,0.095048,1.0,1.0,0.78,SIGINT,Kinetic,3,,,,favorable,,,,GovContractor,fail,None,PEO C4I,NAVY-BA6-HQ-MGMT,19,Navy,Agency,feasibility,13,3
Title50,,Cyber,0.75,POM,funding,,,0.2744,1.0,0.23625,0.054455,1.0,1.0,0.84,MASINT,NonKinetic,4,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,20,Navy,POC-User,operational_test,13,2
Title50,,Air,1.0,Partner,funding,,,0.29155,1.0,0.3,0.071721,1.0,1.0,0.82,OSINT,Kinetic,3,,,,favorable,,,,Commercial,fail,Boeing,NAVWAR,ARMY-BA2-0602105A,28,Army,Service HQ,feasibility,13,3
Title50,,Space,0.75,Partner,funding,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,SIGINT,Kinetic,11,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,13,3
Title10,,ISR,0.75,External,attempt,,,0.2401,1.0,0.196875,0.02,1.0,0.5,0.84,HUMINT,NonKinetic,,,,,not_conducted,,,,GovLab,start,Leidos,PEO C4I,NAVY-BA4-0604771N,32,Navy,CCMD,,13,3
